ts,study,total_trials,completed_trials,best_value,best_algo,mean_value
2025-10-30T01:49:26.959380+00:00,opti_v1.0,657,654,0.3810593263751617,xgb,93272.52816914264
2025-10-30T01:49:27.126447+00:00,opti_v1.0,658,655,0.3810593263751617,xgb,94656.84492002944
2025-10-30T01:49:27.276693+00:00,opti_v1.0,659,656,0.3810593263751617,xgb,96036.9411930172
2025-10-30T01:49:27.426127+00:00,opti_v1.0,660,657,0.3810593263751617,xgb,97412.83625969451
2025-10-30T01:49:27.576346+00:00,opti_v1.0,661,658,0.3810593263751617,xgb,98784.5492744974
2025-10-30T01:49:27.766609+00:00,opti_v1.0,662,659,0.3810593263751617,xgb,100152.09927559832
2025-10-30T01:49:27.936179+00:00,opti_v1.0,663,660,0.3810593263751617,xgb,101515.50518578681
2025-10-30T01:49:28.107179+00:00,opti_v1.0,664,661,0.3810593263751617,xgb,102874.78581334233
2025-10-30T01:49:28.265114+00:00,opti_v1.0,665,662,0.3810593263751617,xgb,104229.95985289922
2025-10-30T01:49:28.425238+00:00,opti_v1.0,666,663,0.3810593263751617,xgb,105581.04588630359
2025-10-30T01:49:28.575633+00:00,opti_v1.0,667,664,0.3810593263751617,xgb,106928.06238346278
2025-10-30T01:49:28.747780+00:00,opti_v1.0,668,665,0.3810593263751617,xgb,108271.02770318689
2025-10-30T01:49:28.923599+00:00,opti_v1.0,669,666,0.3810593263751617,xgb,109609.96009402294
2025-10-30T01:49:29.073817+00:00,opti_v1.0,670,667,0.3810593263751617,xgb,110944.87769508138
2025-10-30T01:49:29.229070+00:00,opti_v1.0,671,668,0.3810593263751617,xgb,112275.79853685522
2025-10-30T01:49:29.393408+00:00,opti_v1.0,672,669,0.3810593263751617,xgb,113602.74054203181
2025-10-30T01:49:29.546768+00:00,opti_v1.0,673,670,0.3810593263751617,xgb,114925.72152629744
2025-10-30T01:49:29.697268+00:00,opti_v1.0,674,671,0.3810593263751617,xgb,116244.75919913455
2025-10-30T01:49:29.861640+00:00,opti_v1.0,675,672,0.3810593263751617,xgb,117559.87116461204
2025-10-30T01:49:29.990922+00:00,opti_v1.0,676,673,0.3810593263751617,xgb,118871.07492216832
2025-10-30T01:49:30.166536+00:00,opti_v1.0,677,674,0.3810593263751617,xgb,120178.38786738766
2025-10-30T01:49:30.327600+00:00,opti_v1.0,678,675,0.3810593263751617,xgb,121481.8272927693
2025-10-30T01:49:30.477799+00:00,opti_v1.0,679,676,0.3810593263751617,xgb,122781.41038849007
2025-10-30T01:49:30.640937+00:00,opti_v1.0,680,677,0.3810593263751617,xgb,124077.15424315995
2025-10-30T01:49:30.778119+00:00,opti_v1.0,681,678,0.3810593263751617,xgb,125369.07584457121
2025-10-30T01:49:30.937534+00:00,opti_v1.0,682,679,0.3810593263751617,xgb,126657.19208044077
2025-10-30T01:49:31.090751+00:00,opti_v1.0,683,680,0.3810593263751617,xgb,127941.51973914601
2025-10-30T01:49:31.245559+00:00,opti_v1.0,684,681,0.3810593263751617,xgb,129222.07551045416
2025-10-30T01:49:31.396047+00:00,opti_v1.0,685,682,0.3810593263751617,xgb,130498.87598624529
2025-10-30T01:49:31.545404+00:00,opti_v1.0,686,683,0.3810593263751617,xgb,131771.93766122882
2025-10-30T01:49:31.704740+00:00,opti_v1.0,687,684,0.3810593263751617,xgb,133041.27693365392
2025-10-30T01:49:31.858122+00:00,opti_v1.0,688,685,0.3810593263751617,xgb,134306.91010601356
2025-10-30T01:49:32.011288+00:00,opti_v1.0,689,686,0.3810593263751617,xgb,135568.8533857424
2025-10-30T01:49:32.167580+00:00,opti_v1.0,690,687,0.3810593263751617,xgb,136827.1228859087
2025-10-30T01:49:32.326843+00:00,opti_v1.0,691,688,0.3810593263751617,xgb,138081.73462590014
2025-10-30T01:49:32.479561+00:00,opti_v1.0,692,689,0.3810593263751617,xgb,139332.70453210347
2025-10-30T01:49:32.632919+00:00,opti_v1.0,693,690,0.3810593263751617,xgb,140580.04843857867
2025-10-30T01:49:32.756277+00:00,opti_v1.0,694,691,0.3810593263751617,xgb,141823.7820877269
2025-10-30T01:49:32.911060+00:00,opti_v1.0,695,692,0.3810593263751617,xgb,143063.92113095272
2025-10-30T01:49:33.062933+00:00,opti_v1.0,696,693,0.3810593263751617,xgb,144300.48112932075
2025-10-30T01:49:33.213868+00:00,opti_v1.0,697,694,0.3810593263751617,xgb,145533.47755420647
2025-10-30T01:54:33.060532+00:00,opti_v1.0,699,695,0.3810593263751617,xgb,146762.9257879414
2025-10-30T01:54:33.225883+00:00,opti_v1.0,700,696,0.3810593263751617,xgb,147988.84112445303
2025-10-30T01:54:33.409950+00:00,opti_v1.0,701,697,0.3810593263751617,xgb,149211.23876989857
2025-10-30T01:54:33.575530+00:00,opti_v1.0,702,698,0.3810593263751617,xgb,150430.1338432941
2025-10-30T02:09:06.014087+00:00,opti_v1.0,704,699,0.3810593263751617,xgb,150214.92677162285
2025-10-30T02:09:13.457481+00:00,opti_v1.0,705,700,0.3810593263751617,xgb,150000.33457443165
2025-10-30T02:09:13.591451+00:00,opti_v1.0,706,701,0.3810593263751617,xgb,151212.88759215715
2025-10-30T02:09:20.602830+00:00,opti_v1.0,707,702,0.3810593263751617,xgb,150997.4851718409
2025-10-30T02:09:27.610755+00:00,opti_v1.0,708,703,0.3810593263751617,xgb,150782.69556405817
2025-10-30T02:09:36.056158+00:00,opti_v1.0,709,704,0.37831985581271893,xgb,150568.5161361545
2025-10-30T02:09:43.145052+00:00,opti_v1.0,710,705,0.37831985581271893,xgb,150354.9443256429
2025-10-30T02:09:50.363387+00:00,opti_v1.0,711,706,0.37831985581271893,xgb,150141.97753541876
2025-10-30T02:09:58.952812+00:00,opti_v1.0,712,707,0.37831985581271893,xgb,149929.61319538666
2025-10-30T02:10:05.791099+00:00,opti_v1.0,713,708,0.37831985581271893,xgb,149717.84875393886
2025-10-30T02:10:13.068182+00:00,opti_v1.0,714,709,0.37831985581271893,xgb,149506.6816731086
2025-10-30T02:10:20.428152+00:00,opti_v1.0,715,710,0.37831985581271893,xgb,149296.10942430602
2025-10-30T02:10:27.973098+00:00,opti_v1.0,716,711,0.37831985581271893,xgb,149086.12950938553
2025-10-30T02:10:35.929069+00:00,opti_v1.0,717,712,0.37831985581271893,xgb,148876.7394217953
2025-10-30T02:10:57.726884+00:00,opti_v1.0,718,713,0.37831985581271893,xgb,148667.93670243723
2025-10-30T02:11:06.297322+00:00,opti_v1.0,719,714,0.37831985581271893,xgb,148459.71884739035
2025-10-30T02:11:16.566280+00:00,opti_v1.0,720,715,0.37831985581271893,xgb,148252.08341214768
2025-10-30T02:11:24.733383+00:00,opti_v1.0,721,716,0.37831985581271893,xgb,148045.02795993304
2025-10-30T02:11:24.934842+00:00,opti_v1.0,722,717,0.37831985581271893,xgb,149233.24967825948
2025-10-30T02:11:32.278501+00:00,opti_v1.0,723,718,0.37831985581271893,xgb,149025.40447017192
2025-10-30T02:11:40.037663+00:00,opti_v1.0,724,719,0.37831985581271893,xgb,148818.13742678607
2025-10-30T02:11:47.787067+00:00,opti_v1.0,725,720,0.37831985581271893,xgb,148611.44610524934
2025-10-30T02:11:54.425872+00:00,opti_v1.0,726,721,0.37831985581271893,xgb,148405.32813352693
2025-10-30T02:12:01.718015+00:00,opti_v1.0,727,722,0.37831985581271893,xgb,148199.78112648914
2025-10-30T02:12:09.156284+00:00,opti_v1.0,728,723,0.37831985581271893,xgb,147994.80271816067
2025-10-30T02:12:16.942128+00:00,opti_v1.0,729,724,0.37831985581271893,xgb,147790.390544168
2025-10-30T02:12:25.600198+00:00,opti_v1.0,730,725,0.37831985581271893,xgb,147586.54226665886
2025-10-30T02:12:25.763891+00:00,opti_v1.0,731,726,0.37831985581271893,xgb,148760.66548667723
2025-10-30T02:12:34.526707+00:00,opti_v1.0,732,727,0.37831985581271893,xgb,148556.04336737198
2025-10-30T02:12:43.665808+00:00,opti_v1.0,733,728,0.37831985581271893,xgb,148351.98339851308
2025-10-30T02:12:54.385057+00:00,opti_v1.0,734,729,0.37831985581271893,xgb,148148.48327884558
2025-10-30T02:13:02.659869+00:00,opti_v1.0,735,730,0.37831985581271893,xgb,147945.54067437278
2025-10-30T02:13:11.152932+00:00,opti_v1.0,736,731,0.37831985581271893,xgb,147743.15331439947
2025-10-30T02:13:17.945670+00:00,opti_v1.0,737,732,0.37831985581271893,xgb,147541.31893975378
2025-10-30T02:13:25.560783+00:00,opti_v1.0,738,733,0.37831985581271893,xgb,147340.03527125518
2025-10-30T02:13:33.569020+00:00,opti_v1.0,739,734,0.37831985581271893,xgb,147139.30005645877
2025-10-30T02:13:41.140700+00:00,opti_v1.0,740,735,0.37831985581271893,xgb,146939.1110533451
2025-10-30T02:13:49.366304+00:00,opti_v1.0,741,736,0.37831985581271893,xgb,146739.46604587854
2025-10-30T02:13:56.824538+00:00,opti_v1.0,742,737,0.37831985581271893,xgb,146540.36281888926
2025-10-30T02:14:03.886051+00:00,opti_v1.0,743,738,0.37831985581271893,xgb,146341.79916811635
2025-10-30T02:14:11.879590+00:00,opti_v1.0,744,739,0.37831985581271893,xgb,146143.77290105587
2025-10-30T02:14:21.438448+00:00,opti_v1.0,745,740,0.37729048942614624,xgb,145946.28182590645
2025-10-30T02:14:21.586393+00:00,opti_v1.0,746,741,0.37729048942614624,xgb,147098.85094624935
2025-10-30T02:14:28.629616+00:00,opti_v1.0,747,742,0.37729048942614624,xgb,146900.60504261407
2025-10-30T02:14:36.772919+00:00,opti_v1.0,748,743,0.37729048942614624,xgb,146702.89277339808
2025-10-30T02:14:44.081829+00:00,opti_v1.0,749,744,0.37729048942614624,xgb,146505.71198746256
2025-10-30T02:14:51.748103+00:00,opti_v1.0,750,745,0.37729048942614624,xgb,146309.0605465925
2025-10-30T02:15:00.116902+00:00,opti_v1.0,751,746,0.37729048942614624,xgb,146112.9363088894
2025-10-30T02:15:15.286715+00:00,opti_v1.0,752,747,0.37729048942614624,xgb,145917.33720176507
2025-10-30T02:15:23.083757+00:00,opti_v1.0,753,748,0.37729048942614624,xgb,145722.2610712617
2025-10-30T02:15:30.715086+00:00,opti_v1.0,754,749,0.37729048942614624,xgb,145527.70583969442
2025-10-30T02:15:38.897211+00:00,opti_v1.0,755,750,0.37729048942614624,xgb,145333.66941267828
2025-10-30T02:15:46.672784+00:00,opti_v1.0,756,751,0.37729048942614624,xgb,145140.14972766157
2025-10-30T02:15:46.806828+00:00,opti_v1.0,757,752,0.37729048942614624,xgb,146276.93144344926
2025-10-30T02:15:54.122519+00:00,opti_v1.0,758,753,0.37729048942614624,xgb,146082.67308995593
2025-10-30T02:16:01.393896+00:00,opti_v1.0,759,754,0.37729048942614624,xgb,145888.93001143102
2025-10-30T02:16:10.159592+00:00,opti_v1.0,760,755,0.37729048942614624,xgb,145695.7001453753
2025-10-30T02:16:18.126255+00:00,opti_v1.0,761,756,0.37729048942614624,xgb,145502.98148149156
2025-10-30T02:16:26.153200+00:00,opti_v1.0,762,757,0.37729048942614624,xgb,145310.7719828658
2025-10-30T02:16:34.944843+00:00,opti_v1.0,763,758,0.37729048942614624,xgb,145119.06961962156
2025-10-30T02:16:43.020843+00:00,opti_v1.0,764,759,0.37729048942614624,xgb,144927.87241328822
2025-10-30T02:16:50.229882+00:00,opti_v1.0,765,760,0.37729048942614624,xgb,144737.17835953363
2025-10-30T02:16:57.473784+00:00,opti_v1.0,766,761,0.37729048942614624,xgb,144546.98547206877
2025-10-30T02:17:06.378455+00:00,opti_v1.0,767,762,0.37729048942614624,xgb,144357.29176658645
2025-10-30T02:17:13.509063+00:00,opti_v1.0,768,763,0.37729048942614624,xgb,144168.0953031021
2025-10-30T02:17:21.279103+00:00,opti_v1.0,769,764,0.37729048942614624,xgb,143979.39412009323
2025-10-30T02:17:29.643728+00:00,opti_v1.0,770,765,0.37729048942614624,xgb,143791.18626650222
2025-10-30T02:17:38.037735+00:00,opti_v1.0,771,766,0.37729048942614624,xgb,143603.4698096783
2025-10-30T02:17:38.202744+00:00,opti_v1.0,772,767,0.37729048942614624,xgb,144720.02330405943
2025-10-30T02:17:46.398043+00:00,opti_v1.0,773,768,0.37729048942614624,xgb,144531.58628500855
2025-10-30T02:17:53.638157+00:00,opti_v1.0,774,769,0.37729048942614624,xgb,144343.6393461801
2025-10-30T02:18:01.347751+00:00,opti_v1.0,775,770,0.37729048942614624,xgb,144156.18058396608
2025-10-30T02:18:09.040475+00:00,opti_v1.0,776,771,0.37729048942614624,xgb,143969.20809320954
2025-10-30T02:18:17.239831+00:00,opti_v1.0,777,772,0.37729048942614624,xgb,143782.71998699327
2025-10-30T02:18:30.516489+00:00,opti_v1.0,778,773,0.37729048942614624,xgb,143596.7144050063
2025-10-30T02:18:40.810565+00:00,opti_v1.0,779,774,0.37729048942614624,xgb,143411.1894372485
2025-10-30T02:18:49.599376+00:00,opti_v1.0,780,775,0.37729048942614624,xgb,143226.1432458979
2025-10-30T02:18:58.179311+00:00,opti_v1.0,781,776,0.37729048942614624,xgb,143041.5739724648
2025-10-30T02:19:06.888884+00:00,opti_v1.0,782,777,0.37729048942614624,xgb,142857.47978890553
2025-10-30T02:19:07.074494+00:00,opti_v1.0,783,778,0.37729048942614624,xgb,143959.20539328997
2025-10-30T02:19:15.635030+00:00,opti_v1.0,784,779,0.37729048942614624,xgb,143774.40588266513
2025-10-30T02:19:24.111809+00:00,opti_v1.0,785,780,0.37729048942614624,xgb,143590.08022273617
2025-10-30T02:19:32.442604+00:00,opti_v1.0,786,781,0.37729048942614624,xgb,143406.22659358167
