trial_number,state,value,params,datetime_complete
0,COMPLETE,0.39270557835257913,"{""c_iterations"": 1436, ""c_depth"": 10, ""c_lr"": 0.026081583694317685, ""c_l2"": 0.015509913987594319}",2025-11-19T06:11:35.835911+00:00
1,COMPLETE,0.4012738944806809,"{""c_iterations"": 890, ""c_depth"": 5, ""c_lr"": 0.00015550191654264885, ""c_l2"": 1.156732719914599}",2025-11-19T06:11:53.483477+00:00
2,COMPLETE,0.40069626577763506,"{""c_iterations"": 2003, ""c_depth"": 8, ""c_lr"": 0.00011693648443440106, ""c_l2"": 6.156997328235206}",2025-11-19T06:12:41.782066+00:00
3,COMPLETE,0.39640250406945754,"{""c_iterations"": 2581, ""c_depth"": 5, ""c_lr"": 0.00039829941698924106, ""c_l2"": 1.922346047064365e-05}",2025-11-19T06:13:18.346750+00:00
4,COMPLETE,0.3937492382120488,"{""c_iterations"": 1260, ""c_depth"": 7, ""c_lr"": 0.002666020367873238, ""c_l2"": 0.00010929592787219404}",2025-11-19T06:13:43.117414+00:00
5,COMPLETE,0.39472568667281765,"{""c_iterations"": 2030, ""c_depth"": 4, ""c_lr"": 0.0009212515846231674, ""c_l2"": 0.0003668874895499185}",2025-11-19T06:14:05.429989+00:00
6,COMPLETE,0.3974507697823963,"{""c_iterations"": 1640, ""c_depth"": 9, ""c_lr"": 0.0004561725458211574, ""c_l2"": 0.003977782830811193}",2025-11-19T06:14:49.249417+00:00
7,COMPLETE,0.39136111479556246,"{""c_iterations"": 1981, ""c_depth"": 4, ""c_lr"": 0.010128002032729377, ""c_l2"": 1.5619562520792747e-05}",2025-11-19T06:15:03.053573+00:00
8,COMPLETE,0.39250332481887784,"{""c_iterations"": 662, ""c_depth"": 10, ""c_lr"": 0.15402113021890798, ""c_l2"": 0.45580746840273345}",2025-11-19T06:15:14.353195+00:00
9,COMPLETE,0.39210225749969957,"{""c_iterations"": 1261, ""c_depth"": 4, ""c_lr"": 0.01814152303366679, ""c_l2"": 0.0012052231254145623}",2025-11-19T06:15:23.964530+00:00
10,COMPLETE,0.39275967753089025,"{""c_iterations"": 2882, ""c_depth"": 6, ""c_lr"": 0.008180932118577131, ""c_l2"": 1.3357744409416468e-06}",2025-11-19T06:15:47.765725+00:00
11,COMPLETE,0.3927059684194408,"{""c_iterations"": 2288, ""c_depth"": 4, ""c_lr"": 0.02837709016938944, ""c_l2"": 1.1925215048990455e-06}",2025-11-19T06:15:59.334906+00:00
12,COMPLETE,0.3934147926705422,"{""c_iterations"": 1056, ""c_depth"": 6, ""c_lr"": 0.012477807664548072, ""c_l2"": 0.020998163401584707}",2025-11-19T06:16:13.326245+00:00
13,COMPLETE,0.3936985221668921,"{""c_iterations"": 1752, ""c_depth"": 4, ""c_lr"": 0.11439368497889899, ""c_l2"": 2.7553884850182135e-05}",2025-11-19T06:16:20.034353+00:00
14,COMPLETE,0.39311139142740803,"{""c_iterations"": 1439, ""c_depth"": 5, ""c_lr"": 0.00294742336509338, ""c_l2"": 0.0006684004167057145}",2025-11-19T06:16:39.074146+00:00
15,COMPLETE,0.3913847056322228,"{""c_iterations"": 2297, ""c_depth"": 6, ""c_lr"": 0.03711358862086077, ""c_l2"": 9.512328074846832e-06}",2025-11-19T06:16:50.698226+00:00
16,COMPLETE,0.3925942494880512,"{""c_iterations"": 2430, ""c_depth"": 7, ""c_lr"": 0.052112829328802915, ""c_l2"": 1.0945372268357902e-05}",2025-11-19T06:17:03.791575+00:00
17,COMPLETE,0.39294355319619123,"{""c_iterations"": 2932, ""c_depth"": 6, ""c_lr"": 0.005602062002596077, ""c_l2"": 5.663211353648075e-06}",2025-11-19T06:17:31.240543+00:00
18,COMPLETE,0.3939577139118801,"{""c_iterations"": 2092, ""c_depth"": 8, ""c_lr"": 0.06109471335140419, ""c_l2"": 0.00012942609597046682}",2025-11-19T06:17:44.038606+00:00
19,COMPLETE,0.3930167144420369,"{""c_iterations"": 2620, ""c_depth"": 5, ""c_lr"": 0.002145017332893845, ""c_l2"": 7.145923039405257e-05}",2025-11-19T06:18:10.188506+00:00
20,COMPLETE,0.3912639313520155,"{""c_iterations"": 1773, ""c_depth"": 7, ""c_lr"": 0.0564663706473135, ""c_l2"": 4.051876554904336e-06}",2025-11-19T06:18:25.716912+00:00
21,COMPLETE,0.3910970789943464,"{""c_iterations"": 1823, ""c_depth"": 7, ""c_lr"": 0.056225670859540874, ""c_l2"": 4.1188757884336905e-06}",2025-11-19T06:18:41.102057+00:00
22,COMPLETE,0.3936050491942193,"{""c_iterations"": 1718, ""c_depth"": 7, ""c_lr"": 0.10777067686791053, ""c_l2"": 2.323257207913988e-06}",2025-11-19T06:18:50.752564+00:00
23,COMPLETE,0.3933104317809113,"{""c_iterations"": 1962, ""c_depth"": 8, ""c_lr"": 0.07135453429321101, ""c_l2"": 4.9228378544886135e-06}",2025-11-19T06:19:04.513589+00:00
24,COMPLETE,0.39284420911960266,"{""c_iterations"": 1740, ""c_depth"": 9, ""c_lr"": 0.011951785871103505, ""c_l2"": 3.0790202170029044e-05}",2025-11-19T06:19:29.121144+00:00
25,COMPLETE,0.39297059119126804,"{""c_iterations"": 1521, ""c_depth"": 9, ""c_lr"": 0.016427575208676864, ""c_l2"": 4.063038624887348e-06}",2025-11-19T06:19:48.944196+00:00
26,COMPLETE,0.3928554863416185,"{""c_iterations"": 1931, ""c_depth"": 8, ""c_lr"": 0.005967510248632951, ""c_l2"": 5.227933157130532e-05}",2025-11-19T06:20:18.908047+00:00
27,COMPLETE,0.39677479371712343,"{""c_iterations"": 2128, ""c_depth"": 7, ""c_lr"": 0.1979790615230965, ""c_l2"": 1.3657521820899842e-06}",2025-11-19T06:20:26.604549+00:00
28,COMPLETE,0.39198686804990884,"{""c_iterations"": 1876, ""c_depth"": 6, ""c_lr"": 0.03698474742209267, ""c_l2"": 0.0003139986551166936}",2025-11-19T06:20:37.430450+00:00
29,COMPLETE,0.3929994530161859,"{""c_iterations"": 1255, ""c_depth"": 10, ""c_lr"": 0.0226796965221089, ""c_l2"": 0.006522539585057483}",2025-11-19T06:20:53.282493+00:00
30,COMPLETE,0.3920398570322301,"{""c_iterations"": 1608, ""c_depth"": 8, ""c_lr"": 0.09232291827324067, ""c_l2"": 0.05169242812694448}",2025-11-19T06:21:06.440192+00:00
31,COMPLETE,0.3911427971852651,"{""c_iterations"": 2197, ""c_depth"": 6, ""c_lr"": 0.03740434878641809, ""c_l2"": 1.037087064486206e-05}",2025-11-19T06:21:22.701184+00:00
32,COMPLETE,0.39230327004158594,"{""c_iterations"": 2192, ""c_depth"": 7, ""c_lr"": 0.04605657350882688, ""c_l2"": 1.5360080734790705e-05}",2025-11-19T06:21:38.721583+00:00
33,COMPLETE,0.3924231379701678,"{""c_iterations"": 1823, ""c_depth"": 5, ""c_lr"": 0.008987323067461944, ""c_l2"": 3.6836923633952196e-06}",2025-11-19T06:21:56.803373+00:00
34,COMPLETE,0.39089806202536687,"{""c_iterations"": 2486, ""c_depth"": 6, ""c_lr"": 0.029505884803921998, ""c_l2"": 1.1153744046425444e-05}",2025-11-19T06:22:14.096248+00:00
35,COMPLETE,0.39216621611013663,"{""c_iterations"": 2491, ""c_depth"": 7, ""c_lr"": 0.027684904757446126, ""c_l2"": 4.3309893431559225e-05}",2025-11-19T06:22:30.218105+00:00
36,COMPLETE,0.39289221108662103,"{""c_iterations"": 2627, ""c_depth"": 6, ""c_lr"": 0.07518041706101275, ""c_l2"": 0.00017985196209435294}",2025-11-19T06:22:40.426229+00:00
37,COMPLETE,0.39304344264080154,"{""c_iterations"": 2801, ""c_depth"": 5, ""c_lr"": 0.1498450046447835, ""c_l2"": 8.43779148202444}",2025-11-19T06:22:47.337858+00:00
38,COMPLETE,0.39363973033057903,"{""c_iterations"": 2379, ""c_depth"": 7, ""c_lr"": 0.04271713390134382, ""c_l2"": 6.52108357419391e-06}",2025-11-19T06:23:00.870455+00:00
39,COMPLETE,0.39238187320328954,"{""c_iterations"": 2190, ""c_depth"": 6, ""c_lr"": 0.020524960417404228, ""c_l2"": 0.0014823368316271323}",2025-11-19T06:23:21.737035+00:00
40,COMPLETE,0.39360040586039446,"{""c_iterations"": 2760, ""c_depth"": 6, ""c_lr"": 0.0013391021661366307, ""c_l2"": 0.11916009695160608}",2025-11-19T06:24:02.591952+00:00
41,COMPLETE,0.3924914326626784,"{""c_iterations"": 2018, ""c_depth"": 5, ""c_lr"": 0.014095959219967463, ""c_l2"": 1.7317403969356197e-05}",2025-11-19T06:24:17.664978+00:00
42,COMPLETE,0.3909835810896208,"{""c_iterations"": 2215, ""c_depth"": 7, ""c_lr"": 0.030918868752894464, ""c_l2"": 2.4480033704165893e-06}",2025-11-19T06:24:32.794840+00:00
43,COMPLETE,0.3921930267021485,"{""c_iterations"": 2329, ""c_depth"": 7, ""c_lr"": 0.03221666705822405, ""c_l2"": 2.4721824321188947e-06}",2025-11-19T06:24:51.144298+00:00
44,COMPLETE,0.39171887865538446,"{""c_iterations"": 2516, ""c_depth"": 7, ""c_lr"": 0.05905956657526447, ""c_l2"": 2.991474286580957}",2025-11-19T06:25:05.262596+00:00
45,COMPLETE,0.39904249929320584,"{""c_iterations"": 2242, ""c_depth"": 8, ""c_lr"": 0.00018775501752005724, ""c_l2"": 1.0301283343678981e-06}",2025-11-19T06:26:02.444552+00:00
46,COMPLETE,0.3918271876555735,"{""c_iterations"": 2094, ""c_depth"": 6, ""c_lr"": 0.023819430411723633, ""c_l2"": 2.340755718483786e-06}",2025-11-19T06:26:15.935543+00:00
47,COMPLETE,0.392604728462111,"{""c_iterations"": 1352, ""c_depth"": 8, ""c_lr"": 0.09172201454521081, ""c_l2"": 9.267454331645643e-06}",2025-11-19T06:26:28.228694+00:00
48,COMPLETE,0.3931221542141141,"{""c_iterations"": 1831, ""c_depth"": 6, ""c_lr"": 0.04433979410737679, ""c_l2"": 2.62536803244103e-05}",2025-11-19T06:26:38.770337+00:00
49,COMPLETE,0.39313615007788943,"{""c_iterations"": 1654, ""c_depth"": 7, ""c_lr"": 0.13593029755593672, ""c_l2"": 8.401061654637354e-05}",2025-11-19T06:26:48.579244+00:00
50,COMPLETE,0.392562889702846,"{""c_iterations"": 632, ""c_depth"": 7, ""c_lr"": 0.01724799926386931, ""c_l2"": 2.274581253799233e-06}",2025-11-19T06:27:01.628060+00:00
51,COMPLETE,0.3915115821260193,"{""c_iterations"": 1992, ""c_depth"": 4, ""c_lr"": 0.008820259417900007, ""c_l2"": 1.2777017182058266e-05}",2025-11-19T06:27:16.415723+00:00
52,COMPLETE,0.3926258002689318,"{""c_iterations"": 2087, ""c_depth"": 4, ""c_lr"": 0.03080530042699629, ""c_l2"": 6.898374037803299e-06}",2025-11-19T06:27:26.828537+00:00
53,COMPLETE,0.39145934968300317,"{""c_iterations"": 2443, ""c_depth"": 5, ""c_lr"": 0.012326227364462969, ""c_l2"": 1.7356431981295337e-05}",2025-11-19T06:27:45.832020+00:00
54,COMPLETE,0.3931232727225902,"{""c_iterations"": 1917, ""c_depth"": 7, ""c_lr"": 0.0036014233060939304, ""c_l2"": 3.374682626084672e-06}",2025-11-19T06:28:12.413095+00:00
55,COMPLETE,0.392264702450132,"{""c_iterations"": 1525, ""c_depth"": 6, ""c_lr"": 0.07344828810429649, ""c_l2"": 0.00022176350056659312}",2025-11-19T06:28:21.921996+00:00
56,COMPLETE,0.39374001777062334,"{""c_iterations"": 2337, ""c_depth"": 8, ""c_lr"": 0.0062933288384814995, ""c_l2"": 4.5315252865144157e-05}",2025-11-19T06:28:50.702057+00:00
57,COMPLETE,0.39307955942080364,"{""c_iterations"": 2706, ""c_depth"": 4, ""c_lr"": 0.05544093122738951, ""c_l2"": 1.5048603136302053e-06}",2025-11-19T06:28:58.710450+00:00
58,COMPLETE,0.3911914519001754,"{""c_iterations"": 2222, ""c_depth"": 7, ""c_lr"": 0.03581378252385911, ""c_l2"": 6.516285718298818e-06}",2025-11-19T06:29:17.966801+00:00
59,COMPLETE,0.39260696223577846,"{""c_iterations"": 2551, ""c_depth"": 9, ""c_lr"": 0.03326278626130157, ""c_l2"": 7.449237218937629e-06}",2025-11-19T06:29:38.312306+00:00
60,COMPLETE,0.39280052387845804,"{""c_iterations"": 2243, ""c_depth"": 7, ""c_lr"": 0.11506708520786946, ""c_l2"": 0.0006002823240718102}",2025-11-19T06:29:46.622612+00:00
61,COMPLETE,0.39239873319350616,"{""c_iterations"": 2164, ""c_depth"": 7, ""c_lr"": 0.018619027952530093, ""c_l2"": 3.0100347834711822e-05}",2025-11-19T06:30:04.718774+00:00
62,COMPLETE,0.3915970726019164,"{""c_iterations"": 2043, ""c_depth"": 6, ""c_lr"": 0.024394570985394524, ""c_l2"": 4.375977785659602e-06}",2025-11-19T06:30:21.076538+00:00
63,COMPLETE,0.3938197183455854,"{""c_iterations"": 1802, ""c_depth"": 8, ""c_lr"": 0.04135401615123497, ""c_l2"": 1.8098076455109361e-06}",2025-11-19T06:30:35.684167+00:00
64,COMPLETE,0.3925419423591408,"{""c_iterations"": 1930, ""c_depth"": 7, ""c_lr"": 0.0628552441189199, ""c_l2"": 1.0458348038109799e-05}",2025-11-19T06:30:47.731099+00:00
65,COMPLETE,0.39308089468781293,"{""c_iterations"": 742, ""c_depth"": 7, ""c_lr"": 0.010723562757504279, ""c_l2"": 4.239802028380308e-06}",2025-11-19T06:31:03.446848+00:00
66,COMPLETE,0.3922339110808397,"{""c_iterations"": 2400, ""c_depth"": 6, ""c_lr"": 0.015525374317988309, ""c_l2"": 2.1457644190751186e-05}",2025-11-19T06:31:21.139072+00:00
67,COMPLETE,0.3964701665626948,"{""c_iterations"": 1677, ""c_depth"": 7, ""c_lr"": 0.1907312823978735, ""c_l2"": 6.141076959114082e-05}",2025-11-19T06:31:29.417384+00:00
68,COMPLETE,0.3934991637782527,"{""c_iterations"": 2273, ""c_depth"": 8, ""c_lr"": 0.08341175599019726, ""c_l2"": 1.114888283686957e-06}",2025-11-19T06:31:41.991535+00:00
69,COMPLETE,0.3927317685200963,"{""c_iterations"": 1578, ""c_depth"": 5, ""c_lr"": 0.05425931790567093, ""c_l2"": 0.00010401745001971114}",2025-11-19T06:31:51.690753+00:00
70,COMPLETE,0.39143429829894866,"{""c_iterations"": 1779, ""c_depth"": 6, ""c_lr"": 0.026839031538234175, ""c_l2"": 2.8654219122184362e-06}",2025-11-19T06:32:11.384743+00:00
71,COMPLETE,0.3919962107167266,"{""c_iterations"": 2151, ""c_depth"": 6, ""c_lr"": 0.03563499933990967, ""c_l2"": 1.0404319492490893e-05}",2025-11-19T06:32:24.999212+00:00
72,COMPLETE,0.3931454309793523,"{""c_iterations"": 1874, ""c_depth"": 6, ""c_lr"": 0.04081616898904055, ""c_l2"": 5.17129162923032e-06}",2025-11-19T06:32:35.276162+00:00
73,COMPLETE,0.3923937514909886,"{""c_iterations"": 2332, ""c_depth"": 6, ""c_lr"": 0.02101097955663349, ""c_l2"": 6.236420718965708e-06}",2025-11-19T06:32:53.670697+00:00
74,COMPLETE,0.39240650709488417,"{""c_iterations"": 2641, ""c_depth"": 9, ""c_lr"": 0.04983823997529363, ""c_l2"": 1.3598168695377406e-05}",2025-11-19T06:33:08.433383+00:00
75,COMPLETE,0.3922560686652506,"{""c_iterations"": 2447, ""c_depth"": 5, ""c_lr"": 0.0699894243621375, ""c_l2"": 3.92733407294716e-05}",2025-11-19T06:33:16.319022+00:00
76,COMPLETE,0.3912929743805928,"{""c_iterations"": 2053, ""c_depth"": 7, ""c_lr"": 0.03564398740388371, ""c_l2"": 2.0223874695413935e-05}",2025-11-19T06:33:29.815185+00:00
77,COMPLETE,0.3929261799269717,"{""c_iterations"": 2030, ""c_depth"": 7, ""c_lr"": 0.11192199049850271, ""c_l2"": 2.21940933423551e-05}",2025-11-19T06:33:37.685764+00:00
78,COMPLETE,0.39103327558978457,"{""c_iterations"": 2191, ""c_depth"": 7, ""c_lr"": 0.02839224290434301, ""c_l2"": 9.162162614221459e-06}",2025-11-19T06:33:57.086577+00:00
79,COMPLETE,0.39116289059580966,"{""c_iterations"": 2193, ""c_depth"": 7, ""c_lr"": 0.028061168945349053, ""c_l2"": 1.8478682264184443e-06}",2025-11-19T06:34:11.644392+00:00
80,COMPLETE,0.39099912253246566,"{""c_iterations"": 2214, ""c_depth"": 7, ""c_lr"": 0.029333440845586367, ""c_l2"": 3.1143445085849953e-06}",2025-11-19T06:34:28.444578+00:00
81,COMPLETE,0.3911080147019455,"{""c_iterations"": 2230, ""c_depth"": 7, ""c_lr"": 0.028352231539324663, ""c_l2"": 1.6906887817391106e-06}",2025-11-19T06:34:45.293174+00:00
82,COMPLETE,0.3913092402406565,"{""c_iterations"": 2213, ""c_depth"": 7, ""c_lr"": 0.028556373043497875, ""c_l2"": 1.803959249083956e-06}",2025-11-19T06:35:00.564285+00:00
83,COMPLETE,0.3927420929078097,"{""c_iterations"": 2374, ""c_depth"": 7, ""c_lr"": 0.014595402816904338, ""c_l2"": 3.0107753752516537e-06}",2025-11-19T06:35:28.172793+00:00
84,COMPLETE,0.3927574583473222,"{""c_iterations"": 2283, ""c_depth"": 7, ""c_lr"": 0.02077449961355634, ""c_l2"": 1.4351062665648148e-06}",2025-11-19T06:35:48.900683+00:00
85,COMPLETE,0.39185005047511356,"{""c_iterations"": 2129, ""c_depth"": 8, ""c_lr"": 0.026272897974774046, ""c_l2"": 7.383306534266301e-06}",2025-11-19T06:36:11.564890+00:00
86,COMPLETE,0.392991642677722,"{""c_iterations"": 2489, ""c_depth"": 7, ""c_lr"": 0.045270599116303205, ""c_l2"": 1.044313823352121e-06}",2025-11-19T06:36:21.926133+00:00
87,COMPLETE,0.392993447530452,"{""c_iterations"": 1117, ""c_depth"": 7, ""c_lr"": 0.02301589222838158, ""c_l2"": 2.5670771205720975e-06}",2025-11-19T06:36:36.698442+00:00
88,COMPLETE,0.3932175514084725,"{""c_iterations"": 2209, ""c_depth"": 8, ""c_lr"": 0.007467533070804891, ""c_l2"": 1.8519312143441986e-06}",2025-11-19T06:37:01.386729+00:00
89,COMPLETE,0.3921021704543702,"{""c_iterations"": 2295, ""c_depth"": 7, ""c_lr"": 0.01845248387133165, ""c_l2"": 3.893083040260117e-06}",2025-11-19T06:37:16.823702+00:00
90,COMPLETE,0.3924984510749118,"{""c_iterations"": 2115, ""c_depth"": 6, ""c_lr"": 0.03177881130247681, ""c_l2"": 8.809979891210672e-06}",2025-11-19T06:37:31.330925+00:00
91,COMPLETE,0.3917899103454053,"{""c_iterations"": 1967, ""c_depth"": 7, ""c_lr"": 0.04821560615885439, ""c_l2"": 5.308774583395903e-06}",2025-11-19T06:37:44.077046+00:00
92,COMPLETE,0.39688004933090815,"{""c_iterations"": 1716, ""c_depth"": 7, ""c_lr"": 0.0005025088628457467, ""c_l2"": 0.007480456357289859}",2025-11-19T06:38:17.184537+00:00
93,COMPLETE,0.39239609468940934,"{""c_iterations"": 2390, ""c_depth"": 7, ""c_lr"": 0.061767627521754985, ""c_l2"": 0.34285755318769384}",2025-11-19T06:38:27.702450+00:00
94,COMPLETE,0.3916908558853884,"{""c_iterations"": 2993, ""c_depth"": 7, ""c_lr"": 0.037240953228611165, ""c_l2"": 3.6017150760519157e-06}",2025-11-19T06:38:39.833746+00:00
95,COMPLETE,0.3915692536692255,"{""c_iterations"": 2590, ""c_depth"": 7, ""c_lr"": 0.08917272493648587, ""c_l2"": 1.939571595011671e-06}",2025-11-19T06:38:47.489338+00:00
96,COMPLETE,0.39056345356386535,"{""c_iterations"": 1865, ""c_depth"": 7, ""c_lr"": 0.028888727980260032, ""c_l2"": 1.2844490822427099e-05}",2025-11-19T06:39:02.017966+00:00
97,COMPLETE,0.3909399090626364,"{""c_iterations"": 1882, ""c_depth"": 6, ""c_lr"": 0.02886829019614353, ""c_l2"": 1.3606704692983657e-05}",2025-11-19T06:39:17.333684+00:00
98,COMPLETE,0.3926605297996303,"{""c_iterations"": 1866, ""c_depth"": 6, ""c_lr"": 0.013263590891134882, ""c_l2"": 1.3780764827495004e-05}",2025-11-19T06:39:31.322100+00:00
99,COMPLETE,0.3904792479484032,"{""c_iterations"": 1996, ""c_depth"": 6, ""c_lr"": 0.028100097975779545, ""c_l2"": 3.298909172902944e-05}",2025-11-19T06:39:45.800161+00:00
100,COMPLETE,0.3927837175537448,"{""c_iterations"": 1992, ""c_depth"": 6, ""c_lr"": 0.018257623476974138, ""c_l2"": 3.0297847317616876e-05}",2025-11-19T06:40:02.878755+00:00
101,COMPLETE,0.39067678606492895,"{""c_iterations"": 1922, ""c_depth"": 6, ""c_lr"": 0.02917853518896291, ""c_l2"": 9.921042955855375e-06}",2025-11-19T06:40:14.985735+00:00
102,COMPLETE,0.3919273954358084,"{""c_iterations"": 1931, ""c_depth"": 6, ""c_lr"": 0.02418643653650349, ""c_l2"": 1.1841385019248873e-05}",2025-11-19T06:40:29.082377+00:00
103,COMPLETE,0.3902694744399904,"{""c_iterations"": 2079, ""c_depth"": 6, ""c_lr"": 0.029224060108705444, ""c_l2"": 1.7299647215035453e-05}",2025-11-19T06:40:41.262314+00:00
104,COMPLETE,0.3928757982816122,"{""c_iterations"": 2077, ""c_depth"": 6, ""c_lr"": 0.021321387940866465, ""c_l2"": 1.78335228724427e-05}",2025-11-19T06:40:54.082378+00:00
105,COMPLETE,0.3912344859055177,"{""c_iterations"": 1901, ""c_depth"": 6, ""c_lr"": 0.031018945352198263, ""c_l2"": 4.042252442552425e-05}",2025-11-19T06:41:08.546191+00:00
106,COMPLETE,0.39237963437316425,"{""c_iterations"": 1823, ""c_depth"": 6, ""c_lr"": 0.01634471109396214, ""c_l2"": 8.468496496202466e-06}",2025-11-19T06:41:23.441930+00:00
107,COMPLETE,0.3926946038600342,"{""c_iterations"": 1714, ""c_depth"": 6, ""c_lr"": 0.0426701892287864, ""c_l2"": 6.59625417780199e-05}",2025-11-19T06:41:32.397225+00:00
108,COMPLETE,0.3926363229710153,"{""c_iterations"": 1975, ""c_depth"": 5, ""c_lr"": 0.025793822244852455, ""c_l2"": 3.082263185329207e-06}",2025-11-19T06:41:43.797036+00:00
109,COMPLETE,0.3924529016306601,"{""c_iterations"": 1855, ""c_depth"": 6, ""c_lr"": 0.011272089390249049, ""c_l2"": 5.082067425378505e-06}",2025-11-19T06:41:59.797791+00:00
110,COMPLETE,0.39338834657584787,"{""c_iterations"": 2026, ""c_depth"": 6, ""c_lr"": 0.0017586862491113563, ""c_l2"": 2.5752507527997524e-05}",2025-11-19T06:42:27.804742+00:00
111,COMPLETE,0.39237639133465496,"{""c_iterations"": 2166, ""c_depth"": 6, ""c_lr"": 0.03898736587886611, ""c_l2"": 1.486448401426877e-05}",2025-11-19T06:42:38.556867+00:00
112,COMPLETE,0.391616971929445,"{""c_iterations"": 2077, ""c_depth"": 6, ""c_lr"": 0.030643772123913705, ""c_l2"": 6.615165987121496e-06}",2025-11-19T06:42:50.812678+00:00
113,COMPLETE,0.39045932118132687,"{""c_iterations"": 1767, ""c_depth"": 6, ""c_lr"": 0.05326106795990875, ""c_l2"": 1.0564194639217637e-05}",2025-11-19T06:42:59.129214+00:00
114,COMPLETE,0.3911249707051669,"{""c_iterations"": 1759, ""c_depth"": 5, ""c_lr"": 0.05320065561969609, ""c_l2"": 9.617783815987606e-06}",2025-11-19T06:43:05.382421+00:00
115,COMPLETE,0.39177022430120473,"{""c_iterations"": 1943, ""c_depth"": 6, ""c_lr"": 0.04760353337836617, ""c_l2"": 4.911604098265044e-06}",2025-11-19T06:43:14.512876+00:00
116,COMPLETE,0.393057949263514,"{""c_iterations"": 1622, ""c_depth"": 6, ""c_lr"": 0.019741660659458912, ""c_l2"": 0.00015968458076292736}",2025-11-19T06:43:27.426269+00:00
117,COMPLETE,0.3928811676612997,"{""c_iterations"": 1811, ""c_depth"": 7, ""c_lr"": 0.063460383316857, ""c_l2"": 1.3028717757251306e-05}",2025-11-19T06:43:35.435170+00:00
118,COMPLETE,0.3919161623216061,"{""c_iterations"": 1901, ""c_depth"": 6, ""c_lr"": 0.03371279576956428, ""c_l2"": 8.889906660362313e-05}",2025-11-19T06:43:47.100466+00:00
119,COMPLETE,0.3923826917728348,"{""c_iterations"": 2110, ""c_depth"": 7, ""c_lr"": 0.023965018432912048, ""c_l2"": 3.455215356787194e-05}",2025-11-19T06:44:02.425242+00:00
