trial_number,state,value,params,datetime_complete
0,COMPLETE,0.4000125924861567,"{""x_n_estimators"": 1436, ""x_learning_rate"": 0.13751068413926434, ""x_max_depth"": 8, ""x_subsample"": 0.7993292420985183, ""x_colsample"": 0.4936111842654619, ""x_reg_lambda"": 1.2358382772306929e-05, ""x_reg_alpha"": 2.550264850403287e-06, ""x_min_child_weight"": 26, ""x_gamma"": 1.2022300234864176}",2025-11-26T03:18:33.373790+00:00
1,COMPLETE,0.4021212130771505,"{""x_n_estimators"": 2270, ""x_learning_rate"": 0.00011693648443440106, ""x_max_depth"": 9, ""x_subsample"": 0.9162213204002109, ""x_colsample"": 0.5274034664069657, ""x_reg_lambda"": 1.8740223688836324e-05, ""x_reg_alpha"": 1.922346047064365e-05, ""x_min_child_weight"": 10, ""x_gamma"": 1.0495128632644757}",2025-11-26T03:20:43.419036+00:00
2,COMPLETE,0.3979766023371314,"{""x_n_estimators"": 1580, ""x_learning_rate"": 0.0009148631342290043, ""x_max_depth"": 7, ""x_subsample"": 0.569746930326021, ""x_colsample"": 0.5752867891211308, ""x_reg_lambda"": 0.0003668874895499185, ""x_reg_alpha"": 0.0015577217702693043, ""x_min_child_weight"": 24, ""x_gamma"": 0.39934756431671947}",2025-11-26T03:21:50.544864+00:00
3,COMPLETE,0.397278973667254,"{""x_n_estimators"": 1786, ""x_learning_rate"": 0.009027723761715104, ""x_max_depth"": 3, ""x_subsample"": 0.8037724259507192, ""x_colsample"": 0.502314474212375, ""x_reg_lambda"": 2.8533901052402254e-06, ""x_reg_alpha"": 4.387314432435407, ""x_min_child_weight"": 29, ""x_gamma"": 1.6167946962329223}",2025-11-26T03:22:07.520860+00:00
4,COMPLETE,0.40186075832989404,"{""x_n_estimators"": 1261, ""x_learning_rate"": 0.00021009638415064324, ""x_max_depth"": 7, ""x_subsample"": 0.7200762468698007, ""x_colsample"": 0.47322294090686734, ""x_reg_lambda"": 0.0029257577949824438, ""x_reg_alpha"": 1.7406828393128095e-06, ""x_min_child_weight"": 28, ""x_gamma"": 0.5175599632000338}",2025-11-26T03:23:10.952524+00:00
5,COMPLETE,0.3977053268740756,"{""x_n_estimators"": 2156, ""x_learning_rate"": 0.0010689751565977942, ""x_max_depth"": 6, ""x_subsample"": 0.7733551396716398, ""x_colsample"": 0.5109126733153162, ""x_reg_lambda"": 6.1248068059259815, ""x_reg_alpha"": 0.2666427400467688, ""x_min_child_weight"": 29, ""x_gamma"": 1.7896547008552977}",2025-11-26T03:24:11.053572+00:00
6,COMPLETE,0.3997491117315436,"{""x_n_estimators"": 1995, ""x_learning_rate"": 0.11044206086493412, ""x_max_depth"": 3, ""x_subsample"": 0.5979914312095727, ""x_colsample"": 0.4271363733463229, ""x_reg_lambda"": 0.0001893704954163131, ""x_reg_alpha"": 0.0005257036929213674, ""x_min_child_weight"": 9, ""x_gamma"": 1.6574750183038587}",2025-11-26T03:24:23.014505+00:00
7,COMPLETE,0.3984294689109107,"{""x_n_estimators"": 1392, ""x_learning_rate"": 0.0008460056107201562, ""x_max_depth"": 6, ""x_subsample"": 0.5704621124873813, ""x_colsample"": 0.8813181884524238, ""x_reg_lambda"": 3.325481267274215e-06, ""x_reg_alpha"": 8.094845352286146, ""x_min_child_weight"": 24, ""x_gamma"": 0.3974313630683448}",2025-11-26T03:25:24.193322+00:00
8,COMPLETE,0.3987193923590617,"{""x_n_estimators"": 513, ""x_learning_rate"": 0.04918839315632672, ""x_max_depth"": 7, ""x_subsample"": 0.8645035840204937, ""x_colsample"": 0.8627622080115674, ""x_reg_lambda"": 3.298470179752566e-06, ""x_reg_alpha"": 0.0003230428252240964, ""x_min_child_weight"": 4, ""x_gamma"": 1.726206851751187}",2025-11-26T03:25:39.093421+00:00
9,COMPLETE,0.397471874617369,"{""x_n_estimators"": 2058, ""x_learning_rate"": 0.0012368137521979532, ""x_max_depth"": 3, ""x_subsample"": 0.6554911608578311, ""x_colsample"": 0.5951099932160482, ""x_reg_lambda"": 0.12800980864220765, ""x_reg_alpha"": 0.02903369428128565, ""x_min_child_weight"": 27, ""x_gamma"": 0.9444298503238986}",2025-11-26T03:26:18.931778+00:00
10,COMPLETE,0.3990724324293896,"{""x_n_estimators"": 2863, ""x_learning_rate"": 0.013979776518911736, ""x_max_depth"": 4, ""x_subsample"": 0.9661451709558936, ""x_colsample"": 0.7114864019556889, ""x_reg_lambda"": 0.06787807462694867, ""x_reg_alpha"": 6.480149127775176, ""x_min_child_weight"": 19, ""x_gamma"": 1.315924369942073}",2025-11-26T03:26:33.426717+00:00
11,COMPLETE,0.3976961416182535,"{""x_n_estimators"": 2612, ""x_learning_rate"": 0.005629985083921278, ""x_max_depth"": 4, ""x_subsample"": 0.6821939638936679, ""x_colsample"": 0.6606137630538469, ""x_reg_lambda"": 0.1290012659745161, ""x_reg_alpha"": 0.087556767837509, ""x_min_child_weight"": 18, ""x_gamma"": 0.8810619363598968}",2025-11-26T03:26:51.331877+00:00
12,COMPLETE,0.3971196250697509,"{""x_n_estimators"": 891, ""x_learning_rate"": 0.005134036458148198, ""x_max_depth"": 3, ""x_subsample"": 0.6608835888001323, ""x_colsample"": 0.6503034572570129, ""x_reg_lambda"": 0.14212270834204516, ""x_reg_alpha"": 0.06007460909004638, ""x_min_child_weight"": 30, ""x_gamma"": 0.7700841215037226}",2025-11-26T03:27:07.865442+00:00
13,COMPLETE,0.39753794775560003,"{""x_n_estimators"": 842, ""x_learning_rate"": 0.01409362442286146, ""x_max_depth"": 4, ""x_subsample"": 0.5036394230048078, ""x_colsample"": 0.738887102649097, ""x_reg_lambda"": 1.8392448441799987, ""x_reg_alpha"": 0.6188936942958875, ""x_min_child_weight"": 21, ""x_gamma"": 0.7337971867509335}",2025-11-26T03:27:21.135718+00:00
14,COMPLETE,0.3987398818221288,"{""x_n_estimators"": 1055, ""x_learning_rate"": 0.00414015351616391, ""x_max_depth"": 5, ""x_subsample"": 0.8231454309802443, ""x_colsample"": 0.9916882347614262, ""x_reg_lambda"": 0.005688681603617185, ""x_reg_alpha"": 0.016113196823730573, ""x_min_child_weight"": 30, ""x_gamma"": 1.448125572098917}",2025-11-26T03:27:50.674204+00:00
15,COMPLETE,0.39756321608312073,"{""x_n_estimators"": 1787, ""x_learning_rate"": 0.017630653335215244, ""x_max_depth"": 3, ""x_subsample"": 0.7294111983952427, ""x_colsample"": 0.6327350675094475, ""x_reg_lambda"": 0.009180532897799359, ""x_reg_alpha"": 1.0977191811365696, ""x_min_child_weight"": 23, ""x_gamma"": 1.9545329311901558}",2025-11-26T03:28:01.158965+00:00
16,COMPLETE,0.39817162013882096,"{""x_n_estimators"": 511, ""x_learning_rate"": 0.003110937722903774, ""x_max_depth"": 5, ""x_subsample"": 0.6645325915335119, ""x_colsample"": 0.4042769072363917, ""x_reg_lambda"": 0.810271856267523, ""x_reg_alpha"": 0.0056499083650568905, ""x_min_child_weight"": 12, ""x_gamma"": 0.02635842876184713}",2025-11-26T03:28:22.920106+00:00
17,COMPLETE,0.39888021172002447,"{""x_n_estimators"": 927, ""x_learning_rate"": 0.02613760724579442, ""x_max_depth"": 5, ""x_subsample"": 0.8717360375187788, ""x_colsample"": 0.7758873481309698, ""x_reg_lambda"": 0.000258853195787428, ""x_reg_alpha"": 1.7042377746000614, ""x_min_child_weight"": 2, ""x_gamma"": 1.4971973003724828}",2025-11-26T03:28:36.730909+00:00
18,COMPLETE,0.397311248696109,"{""x_n_estimators"": 2468, ""x_learning_rate"": 0.007609419673680479, ""x_max_depth"": 3, ""x_subsample"": 0.616296459331951, ""x_colsample"": 0.5769830352137387, ""x_reg_lambda"": 0.02141671426051436, ""x_reg_alpha"": 0.11989491511172966, ""x_min_child_weight"": 15, ""x_gamma"": 0.7028841935737346}",2025-11-26T03:28:54.888077+00:00
19,COMPLETE,0.39889088214568375,"{""x_n_estimators"": 1774, ""x_learning_rate"": 0.0020989362476980964, ""x_max_depth"": 4, ""x_subsample"": 0.9956385980717997, ""x_colsample"": 0.6574963516284403, ""x_reg_lambda"": 0.0013312329519456357, ""x_reg_alpha"": 6.377033628627866e-05, ""x_min_child_weight"": 30, ""x_gamma"": 0.08671419184671725}",2025-11-26T03:29:18.672838+00:00
