trial_number,state,value,params,datetime_complete
0,COMPLETE,0.37859737287159795,"{""l_n_estimators"": 1436, ""l_learning_rate"": 0.13751068413926434, ""l_num_leaves"": 192, ""l_max_depth"": 7, ""l_subsample"": 0.5780093202212182, ""l_colsample"": 0.49359671220172163, ""l_reg_alpha"": 2.550264850403287e-06, ""l_reg_lambda"": 1.156732719914599}",2025-12-02T23:37:58.326326+00:00
1,COMPLETE,0.3784347845050257,"{""l_n_estimators"": 2003, ""l_learning_rate"": 0.021745470981373614, ""l_num_leaves"": 20, ""l_max_depth"": 12, ""l_subsample"": 0.9162213204002109, ""l_colsample"": 0.5274034664069657, ""l_reg_alpha"": 1.8740223688836324e-05, ""l_reg_lambda"": 1.922346047064365e-05}",2025-12-02T23:38:01.265181+00:00
2,COMPLETE,0.3800965461693455,"{""l_n_estimators"": 1260, ""l_learning_rate"": 0.005398047741548973, ""l_num_leaves"": 120, ""l_max_depth"": 3, ""l_subsample"": 0.8059264473611898, ""l_colsample"": 0.4836963163912251, ""l_reg_alpha"": 0.00011092068418536184, ""l_reg_lambda"": 0.0003668874895499185}",2025-12-02T23:38:03.492773+00:00
3,COMPLETE,0.3766070575397994,"{""l_n_estimators"": 1640, ""l_learning_rate"": 0.039074137500162594, ""l_num_leaves"": 64, ""l_max_depth"": 6, ""l_subsample"": 0.7962072844310213, ""l_colsample"": 0.42787024763199866, ""l_reg_alpha"": 0.017898389848671606, ""l_reg_lambda"": 1.5619562520792747e-05}",2025-12-02T23:38:05.671210+00:00
4,COMPLETE,0.3762696806811326,"{""l_n_estimators"": 662, ""l_learning_rate"": 0.13561246837383378, ""l_num_leaves"": 248, ""l_max_depth"": 10, ""l_subsample"": 0.6523068845866853, ""l_colsample"": 0.45860326840383037, ""l_reg_alpha"": 0.06160715952774549, ""l_reg_lambda"": 0.0012052231254145623}",2025-12-02T23:38:07.011245+00:00
5,COMPLETE,0.38479376904344226,"{""l_n_estimators"": 805, ""l_learning_rate"": 0.004311156945735047, ""l_num_leaves"": 24, ""l_max_depth"": 11, ""l_subsample"": 0.6293899908000085, ""l_colsample"": 0.7975133706123891, ""l_reg_alpha"": 0.0001520468869219893, ""l_reg_lambda"": 0.004369946783595583}",2025-12-02T23:38:09.374097+00:00
6,COMPLETE,0.38969459952526964,"{""l_n_estimators"": 1867, ""l_learning_rate"": 0.00040757740748076566, ""l_num_leaves"": 249, ""l_max_depth"": 9, ""l_subsample"": 0.9697494707820946, ""l_colsample"": 0.9368964102565893, ""l_reg_alpha"": 0.015321449415450729, ""l_reg_lambda"": 2.8387009634436295}",2025-12-02T23:38:16.520924+00:00
7,COMPLETE,0.3948774103902555,"{""l_n_estimators"": 721, ""l_learning_rate"": 0.0004435527819593251, ""l_num_leaves"": 26, ""l_max_depth"": 3, ""l_subsample"": 0.6943386448447411, ""l_colsample"": 0.5628094190643376, ""l_reg_alpha"": 0.6326486185661588, ""l_reg_lambda"": 0.0003142485531883166}",2025-12-02T23:38:18.708099+00:00
8,COMPLETE,0.3818851365225261,"{""l_n_estimators"": 1202, ""l_learning_rate"": 0.00618665714896614, ""l_num_leaves"": 49, ""l_max_depth"": 10, ""l_subsample"": 0.5372753218398854, ""l_colsample"": 0.9921321619603104, ""l_reg_alpha"": 0.2545150013091294, ""l_reg_lambda"": 2.4604229580184192e-05}",2025-12-02T23:38:21.527640+00:00
9,COMPLETE,0.3771727043876039,"{""l_n_estimators"": 513, ""l_learning_rate"": 0.04918839315632672, ""l_num_leaves"": 186, ""l_max_depth"": 9, ""l_subsample"": 0.8856351733429728, ""l_colsample"": 0.44442679104045424, ""l_reg_alpha"": 0.0003230428252240964, ""l_reg_lambda"": 6.472669269538641e-06}",2025-12-02T23:38:23.276741+00:00
10,COMPLETE,0.39465872886603226,"{""l_n_estimators"": 2863, ""l_learning_rate"": 0.00010466389213948228, ""l_num_leaves"": 249, ""l_max_depth"": -1, ""l_subsample"": 0.6986045381822311, ""l_colsample"": 0.6737965442802256, ""l_reg_alpha"": 5.228718023161329, ""l_reg_lambda"": 0.0544511000715144}",2025-12-02T23:38:36.555745+00:00
11,COMPLETE,0.3805512692603481,"{""l_n_estimators"": 2362, ""l_learning_rate"": 0.19606775145917574, ""l_num_leaves"": 102, ""l_max_depth"": 6, ""l_subsample"": 0.7849598833322474, ""l_colsample"": 0.6606137630538468, ""l_reg_alpha"": 0.018845429507724686, ""l_reg_lambda"": 0.004972014266173105}",2025-12-02T23:38:37.813066+00:00
12,COMPLETE,0.3770358409747278,"{""l_n_estimators"": 2272, ""l_learning_rate"": 0.03419451465289181, ""l_num_leaves"": 80, ""l_max_depth"": 4, ""l_subsample"": 0.7080872381154015, ""l_colsample"": 0.4077049422117416, ""l_reg_alpha"": 0.008941838208405785, ""l_reg_lambda"": 2.034632021934876e-06}",2025-12-02T23:38:40.205605+00:00
13,COMPLETE,0.37916226707175193,"{""l_n_estimators"": 1548, ""l_learning_rate"": 0.0753809982711542, ""l_num_leaves"": 162, ""l_max_depth"": 8, ""l_subsample"": 0.8255079015857973, ""l_colsample"": 0.5778286764903346, ""l_reg_alpha"": 0.17041571527727345, ""l_reg_lambda"": 0.0002024859753944744}",2025-12-02T23:38:42.010329+00:00
14,COMPLETE,0.37817827681120886,"{""l_n_estimators"": 1044, ""l_learning_rate"": 0.01548547459919676, ""l_num_leaves"": 79, ""l_max_depth"": 0, ""l_subsample"": 0.6348530464190201, ""l_colsample"": 0.40758781723507786, ""l_reg_alpha"": 0.001602812965156963, ""l_reg_lambda"": 0.03457708366853056}",2025-12-02T23:38:44.371530+00:00
15,COMPLETE,0.37964508015304654,"{""l_n_estimators"": 2963, ""l_learning_rate"": 0.09380181511872598, ""l_num_leaves"": 216, ""l_max_depth"": 6, ""l_subsample"": 0.7472223931930824, ""l_colsample"": 0.7858579892349946, ""l_reg_alpha"": 0.07018195224868563, ""l_reg_lambda"": 1.0551301649936448e-06}",2025-12-02T23:38:46.075203+00:00
16,COMPLETE,0.38002368777783246,"{""l_n_estimators"": 991, ""l_learning_rate"": 0.0130038386111993, ""l_num_leaves"": 144, ""l_max_depth"": 12, ""l_subsample"": 0.5077551909971135, ""l_colsample"": 0.6098524354624255, ""l_reg_alpha"": 2.845125618527243, ""l_reg_lambda"": 8.41946425913183e-05}",2025-12-02T23:38:48.243366+00:00
17,COMPLETE,0.38347420009639643,"{""l_n_estimators"": 1638, ""l_learning_rate"": 0.0027383885922121517, ""l_num_leaves"": 77, ""l_max_depth"": 4, ""l_subsample"": 0.8609727402803514, ""l_colsample"": 0.7646075610670027, ""l_reg_alpha"": 0.0016001285054974244, ""l_reg_lambda"": 0.0012106490114829414}",2025-12-02T23:38:51.647648+00:00
18,COMPLETE,0.37854696165664575,"{""l_n_estimators"": 2203, ""l_learning_rate"": 0.040883777279905754, ""l_num_leaves"": 221, ""l_max_depth"": 1, ""l_subsample"": 0.6330816780338278, ""l_colsample"": 0.484005634726429, ""l_reg_alpha"": 1.0350069775866362, ""l_reg_lambda"": 0.04996418082651777}",2025-12-02T23:38:53.405680+00:00
19,COMPLETE,0.3836201700341209,"{""l_n_estimators"": 2553, ""l_learning_rate"": 0.0015510037509999354, ""l_num_leaves"": 152, ""l_max_depth"": 7, ""l_subsample"": 0.7533027553733889, ""l_colsample"": 0.6160627855691385, ""l_reg_alpha"": 0.05661667734929264, ""l_reg_lambda"": 0.5129899550160882}",2025-12-02T23:38:59.344513+00:00
20,COMPLETE,0.3808261290571177,"{""l_n_estimators"": 557, ""l_learning_rate"": 0.19461834341058742, ""l_num_leaves"": 119, ""l_max_depth"": 10, ""l_subsample"": 0.9956385980717997, ""l_colsample"": 0.7263266396682801, ""l_reg_alpha"": 0.003955196846027284, ""l_reg_lambda"": 4.910028163856658e-05}",2025-12-02T23:39:00.677510+00:00
21,COMPLETE,0.37674827020263024,"{""l_n_estimators"": 2107, ""l_learning_rate"": 0.03115883750466652, ""l_num_leaves"": 65, ""l_max_depth"": 4, ""l_subsample"": 0.7080969865991407, ""l_colsample"": 0.4010238378217075, ""l_reg_alpha"": 0.009076054301466432, ""l_reg_lambda"": 3.2771438537632407e-06}",2025-12-02T23:39:02.709429+00:00
22,COMPLETE,0.3728529122306014,"{""l_n_estimators"": 1990, ""l_learning_rate"": 0.07625517938096726, ""l_num_leaves"": 50, ""l_max_depth"": 2, ""l_subsample"": 0.658453329394061, ""l_colsample"": 0.4425617320031429, ""l_reg_alpha"": 0.035189335816940226, ""l_reg_lambda"": 3.963701987435086e-06}",2025-12-02T23:39:04.223298+00:00
23,COMPLETE,0.3747111550542955,"{""l_n_estimators"": 1806, ""l_learning_rate"": 0.07011438186125564, ""l_num_leaves"": 57, ""l_max_depth"": 2, ""l_subsample"": 0.5906058221925554, ""l_colsample"": 0.5224085250407032, ""l_reg_alpha"": 0.05241291639700422, ""l_reg_lambda"": 1.4562747615783223e-05}",2025-12-02T23:39:05.687528+00:00
24,COMPLETE,0.37845984301221075,"{""l_n_estimators"": 1836, ""l_learning_rate"": 0.07817664716769666, ""l_num_leaves"": 96, ""l_max_depth"": 1, ""l_subsample"": 0.5660841385785128, ""l_colsample"": 0.5294537696016285, ""l_reg_alpha"": 0.06990392258775242, ""l_reg_lambda"": 8.209182742856823e-06}",2025-12-02T23:39:07.364797+00:00
25,COMPLETE,0.3725184135175878,"{""l_n_estimators"": 2631, ""l_learning_rate"": 0.09663308385800175, ""l_num_leaves"": 44, ""l_max_depth"": 2, ""l_subsample"": 0.662022485327184, ""l_colsample"": 0.46438948796645674, ""l_reg_alpha"": 0.2945506995904797, ""l_reg_lambda"": 0.001261458855809378}",2025-12-02T23:39:08.769863+00:00
26,COMPLETE,0.3762923076752517,"{""l_n_estimators"": 2572, ""l_learning_rate"": 0.010525554062707358, ""l_num_leaves"": 50, ""l_max_depth"": 2, ""l_subsample"": 0.5922522624275044, ""l_colsample"": 0.8554011101181634, ""l_reg_alpha"": 1.1260867630990254, ""l_reg_lambda"": 7.436929135085735e-05}",2025-12-02T23:39:11.451685+00:00
27,COMPLETE,0.37899761785291486,"{""l_n_estimators"": 2706, ""l_learning_rate"": 0.058860837901066033, ""l_num_leaves"": 45, ""l_max_depth"": -1, ""l_subsample"": 0.6555230826661727, ""l_colsample"": 0.5363882515492491, ""l_reg_alpha"": 0.4134451257510026, ""l_reg_lambda"": 1.0360278059860904e-06}",2025-12-02T23:39:13.410352+00:00
28,COMPLETE,0.38874807168118525,"{""l_n_estimators"": 2005, ""l_learning_rate"": 0.021856942607019786, ""l_num_leaves"": 35, ""l_max_depth"": 1, ""l_subsample"": 0.6018212200888495, ""l_colsample"": 0.5831775599344686, ""l_reg_alpha"": 2.3791318530425327, ""l_reg_lambda"": 0.001072762138902521}",2025-12-02T23:39:14.686240+00:00
29,COMPLETE,0.3758685937672462,"{""l_n_estimators"": 1394, ""l_learning_rate"": 0.12655808213269626, ""l_num_leaves"": 62, ""l_max_depth"": 2, ""l_subsample"": 0.5597049780411142, ""l_colsample"": 0.498988155611114, ""l_reg_alpha"": 0.18564522060394317, ""l_reg_lambda"": 3.545894397854103e-06}",2025-12-02T23:39:15.806219+00:00
30,COMPLETE,0.3764947297852533,"{""l_n_estimators"": 2465, ""l_learning_rate"": 0.0936262036246796, ""l_num_leaves"": 102, ""l_max_depth"": 5, ""l_subsample"": 0.5019181435494302, ""l_colsample"": 0.457905451188023, ""l_reg_alpha"": 1.9916648582175042e-06, ""l_reg_lambda"": 0.20858407394137815}",2025-12-02T23:39:17.712772+00:00
31,COMPLETE,0.37514020882417626,"{""l_n_estimators"": 1453, ""l_learning_rate"": 0.1305054901026834, ""l_num_leaves"": 66, ""l_max_depth"": 2, ""l_subsample"": 0.5572433978905323, ""l_colsample"": 0.5125889420823286, ""l_reg_alpha"": 0.14731974724569694, ""l_reg_lambda"": 5.805368996397132e-06}",2025-12-02T23:39:18.785329+00:00
32,COMPLETE,0.3761609758633179,"{""l_n_estimators"": 1434, ""l_learning_rate"": 0.12347808272713588, ""l_num_leaves"": 39, ""l_max_depth"": 2, ""l_subsample"": 0.5375708666645825, ""l_colsample"": 0.5189056822164547, ""l_reg_alpha"": 0.038644354704797594, ""l_reg_lambda"": 1.3441690119336547e-05}",2025-12-02T23:39:20.034681+00:00
33,COMPLETE,0.37758323777939223,"{""l_n_estimators"": 1735, ""l_learning_rate"": 0.02248189951272244, ""l_num_leaves"": 16, ""l_max_depth"": 3, ""l_subsample"": 0.601472303897583, ""l_colsample"": 0.48147526395511814, ""l_reg_alpha"": 0.12260373925165817, ""l_reg_lambda"": 4.121702251352071e-05}",2025-12-02T23:39:21.822992+00:00
34,COMPLETE,0.3790505952575686,"{""l_n_estimators"": 1962, ""l_learning_rate"": 0.0603301130481373, ""l_num_leaves"": 90, ""l_max_depth"": 0, ""l_subsample"": 0.6647349103636333, ""l_colsample"": 0.6210600139262176, ""l_reg_alpha"": 1.1779472395713701e-05, ""l_reg_lambda"": 0.00011767944324709767}",2025-12-02T23:39:24.311696+00:00
35,COMPLETE,0.38143710692595073,"{""l_n_estimators"": 1278, ""l_learning_rate"": 0.18010245253877108, ""l_num_leaves"": 115, ""l_max_depth"": 0, ""l_subsample"": 0.6749797585543454, ""l_colsample"": 0.5514610203520305, ""l_reg_alpha"": 9.929036451104498, ""l_reg_lambda"": 0.011810482674400208}",2025-12-02T23:39:25.520197+00:00
36,COMPLETE,0.37546785274056166,"{""l_n_estimators"": 2067, ""l_learning_rate"": 0.10951891234657764, ""l_num_leaves"": 64, ""l_max_depth"": 2, ""l_subsample"": 0.6155526507592155, ""l_colsample"": 0.49782508559447214, ""l_reg_alpha"": 0.48917281156175363, ""l_reg_lambda"": 6.904367279011573e-06}",2025-12-02T23:39:26.747227+00:00
37,COMPLETE,0.37731474961697264,"{""l_n_estimators"": 1550, ""l_learning_rate"": 0.027106352868360675, ""l_num_leaves"": 57, ""l_max_depth"": 5, ""l_subsample"": 0.7374821279913888, ""l_colsample"": 0.45343163167669276, ""l_reg_alpha"": 0.02863937450935682, ""l_reg_lambda"": 2.038746451668789e-05}",2025-12-02T23:39:29.100286+00:00
38,COMPLETE,0.37700077876015214,"{""l_n_estimators"": 1788, ""l_learning_rate"": 0.008468671901804161, ""l_num_leaves"": 30, ""l_max_depth"": 3, ""l_subsample"": 0.5749056074661063, ""l_colsample"": 0.43130821688779764, ""l_reg_alpha"": 0.003743180555860194, ""l_reg_lambda"": 2.598189152699431e-06}",2025-12-02T23:39:31.614060+00:00
39,COMPLETE,0.37872907615825563,"{""l_n_estimators"": 2766, ""l_learning_rate"": 0.0442182993969256, ""l_num_leaves"": 76, ""l_max_depth"": 1, ""l_subsample"": 0.5582157697817033, ""l_colsample"": 0.4718526411037745, ""l_reg_alpha"": 0.000970149364214939, ""l_reg_lambda"": 0.0005286704160961487}",2025-12-02T23:39:33.378001+00:00
40,COMPLETE,0.378545064480717,"{""l_n_estimators"": 1651, ""l_learning_rate"": 0.07678085187850285, ""l_num_leaves"": 17, ""l_max_depth"": 3, ""l_subsample"": 0.5348412148327264, ""l_colsample"": 0.5837417700296097, ""l_reg_alpha"": 0.011009747242610597, ""l_reg_lambda"": 2.9785019311689963e-05}",2025-12-02T23:39:34.874803+00:00
41,COMPLETE,0.37520807715462634,"{""l_n_estimators"": 2097, ""l_learning_rate"": 0.13258686774585593, ""l_num_leaves"": 66, ""l_max_depth"": 2, ""l_subsample"": 0.6153645295855333, ""l_colsample"": 0.5098581806989608, ""l_reg_alpha"": 0.37991416458143623, ""l_reg_lambda"": 7.443595416031723e-06}",2025-12-02T23:39:35.913735+00:00
42,COMPLETE,0.3751854775148722,"{""l_n_estimators"": 2229, ""l_learning_rate"": 0.13530599597437518, ""l_num_leaves"": 52, ""l_max_depth"": 2, ""l_subsample"": 0.6265900168897311, ""l_colsample"": 0.5090880107110909, ""l_reg_alpha"": 0.31152321218172224, ""l_reg_lambda"": 1.0507037917010922e-05}",2025-12-02T23:39:36.967365+00:00
43,COMPLETE,0.37781133183149657,"{""l_n_estimators"": 2337, ""l_learning_rate"": 0.061404145812302635, ""l_num_leaves"": 48, ""l_max_depth"": 3, ""l_subsample"": 0.676950168504026, ""l_colsample"": 0.546113806869628, ""l_reg_alpha"": 0.12384772647355316, ""l_reg_lambda"": 5.017631713229171}",2025-12-02T23:39:38.714405+00:00
44,COMPLETE,0.3757387182878332,"{""l_n_estimators"": 1920, ""l_learning_rate"": 0.16055682850876754, ""l_num_leaves"": 34, ""l_max_depth"": 0, ""l_subsample"": 0.6399909959764853, ""l_colsample"": 0.45460386695716504, ""l_reg_alpha"": 1.1417643477527935, ""l_reg_lambda"": 1.2311799948862786e-05}",2025-12-02T23:39:39.940817+00:00
45,COMPLETE,0.38688423990989684,"{""l_n_estimators"": 2187, ""l_learning_rate"": 0.0007184086700904386, ""l_num_leaves"": 56, ""l_max_depth"": 4, ""l_subsample"": 0.5919362323604178, ""l_colsample"": 0.43303564496781666, ""l_reg_alpha"": 0.032228265193545685, ""l_reg_lambda"": 0.00015295211938602665}",2025-12-02T23:39:45.597573+00:00
46,COMPLETE,0.3801460742070579,"{""l_n_estimators"": 2388, ""l_learning_rate"": 0.04559681863234712, ""l_num_leaves"": 91, ""l_max_depth"": 1, ""l_subsample"": 0.691260480375142, ""l_colsample"": 0.6628612139524221, ""l_reg_alpha"": 0.10523979262583211, ""l_reg_lambda"": 2.022270771407315e-06}",2025-12-02T23:39:47.283458+00:00
47,COMPLETE,0.37807795399157745,"{""l_n_estimators"": 2548, ""l_learning_rate"": 0.01656710153103025, ""l_num_leaves"": 27, ""l_max_depth"": -1, ""l_subsample"": 0.7290372547740543, ""l_colsample"": 0.5029870113764924, ""l_reg_alpha"": 0.2519917988208464, ""l_reg_lambda"": 4.398015812691934e-06}",2025-12-02T23:39:50.454700+00:00
48,COMPLETE,0.37896179167749505,"{""l_n_estimators"": 2706, ""l_learning_rate"": 0.08870428381884131, ""l_num_leaves"": 40, ""l_max_depth"": 3, ""l_subsample"": 0.653518804858452, ""l_colsample"": 0.859792556384892, ""l_reg_alpha"": 0.01767273302978634, ""l_reg_lambda"": 0.0004572696237676557}",2025-12-02T23:39:51.931666+00:00
49,COMPLETE,0.37680183687833374,"{""l_n_estimators"": 1163, ""l_learning_rate"": 0.13285572946532945, ""l_num_leaves"": 77, ""l_max_depth"": 2, ""l_subsample"": 0.5438349125909359, ""l_colsample"": 0.6396126350628288, ""l_reg_alpha"": 3.013710698754338, ""l_reg_lambda"": 1.7854427052274103e-05}",2025-12-02T23:39:52.980644+00:00
50,COMPLETE,0.3789201947396524,"{""l_n_estimators"": 1727, ""l_learning_rate"": 0.059415664551802035, ""l_num_leaves"": 112, ""l_max_depth"": 5, ""l_subsample"": 0.7744439933860179, ""l_colsample"": 0.5596286548043587, ""l_reg_alpha"": 0.7979120791594063, ""l_reg_lambda"": 1.6875960486188006e-06}",2025-12-02T23:39:54.738048+00:00
51,COMPLETE,0.375431481078805,"{""l_n_estimators"": 2107, ""l_learning_rate"": 0.11831709689378614, ""l_num_leaves"": 70, ""l_max_depth"": 2, ""l_subsample"": 0.6247440000824709, ""l_colsample"": 0.5147557693323467, ""l_reg_alpha"": 0.2031859702849285, ""l_reg_lambda"": 7.221918805065717e-06}",2025-12-02T23:39:55.884511+00:00
52,COMPLETE,0.3760916058370406,"{""l_n_estimators"": 2219, ""l_learning_rate"": 0.1582816711028162, ""l_num_leaves"": 132, ""l_max_depth"": 4, ""l_subsample"": 0.6119692876005468, ""l_colsample"": 0.4766350699302267, ""l_reg_alpha"": 0.39793616962271, ""l_reg_lambda"": 1.0944686533049034e-05}",2025-12-02T23:39:57.186967+00:00
53,COMPLETE,0.3976631151834912,"{""l_n_estimators"": 1928, ""l_learning_rate"": 0.000142520223790416, ""l_num_leaves"": 86, ""l_max_depth"": 1, ""l_subsample"": 0.5788412785031093, ""l_colsample"": 0.420274871523152, ""l_reg_alpha"": 0.35017022696968797, ""l_reg_lambda"": 4.810915868589733e-05}",2025-12-02T23:40:00.390923+00:00
54,COMPLETE,0.3749509606542185,"{""l_n_estimators"": 1604, ""l_learning_rate"": 0.09435009306245735, ""l_num_leaves"": 54, ""l_max_depth"": 2, ""l_subsample"": 0.6414756439292619, ""l_colsample"": 0.5274860818087105, ""l_reg_alpha"": 0.07169332436369677, ""l_reg_lambda"": 4.49489858652481e-06}",2025-12-02T23:40:01.640739+00:00
55,COMPLETE,0.37932488207600923,"{""l_n_estimators"": 1381, ""l_learning_rate"": 0.09148154582219237, ""l_num_leaves"": 53, ""l_max_depth"": 0, ""l_subsample"": 0.5235120914898148, ""l_colsample"": 0.575183850826689, ""l_reg_alpha"": 0.04734450311477262, ""l_reg_lambda"": 3.85372594629797e-06}",2025-12-02T23:40:03.394953+00:00
56,COMPLETE,0.3820736267365945,"{""l_n_estimators"": 1567, ""l_learning_rate"": 0.03419104759086754, ""l_num_leaves"": 43, ""l_max_depth"": 1, ""l_subsample"": 0.644981032599273, ""l_colsample"": 0.5997749217903369, ""l_reg_alpha"": 0.02407807312930812, ""l_reg_lambda"": 2.9240534372142738e-05}",2025-12-02T23:40:04.872183+00:00
57,COMPLETE,0.37629709256172905,"{""l_n_estimators"": 1829, ""l_learning_rate"": 0.19665726536889616, ""l_num_leaves"": 170, ""l_max_depth"": 4, ""l_subsample"": 0.6842794511325865, ""l_colsample"": 0.4340309375822688, ""l_reg_alpha"": 0.09264327876920872, ""l_reg_lambda"": 0.0031811019503660666}",2025-12-02T23:40:06.051721+00:00
58,COMPLETE,0.37824640150641087,"{""l_n_estimators"": 1503, ""l_learning_rate"": 0.06864311115163578, ""l_num_leaves"": 25, ""l_max_depth"": 3, ""l_subsample"": 0.7103058624986156, ""l_colsample"": 0.7158643760929979, ""l_reg_alpha"": 1.3999289333979683, ""l_reg_lambda"": 1.4801113147908448e-06}",2025-12-02T23:40:07.487904+00:00
59,COMPLETE,0.3799406520108558,"{""l_n_estimators"": 1303, ""l_learning_rate"": 0.003780349286709503, ""l_num_leaves"": 71, ""l_max_depth"": 2, ""l_subsample"": 0.5901810174516013, ""l_colsample"": 0.5383125961508252, ""l_reg_alpha"": 0.005181285818830697, ""l_reg_lambda"": 4.842696579116363e-06}",2025-12-02T23:40:09.451773+00:00
60,COMPLETE,0.37622875407582057,"{""l_n_estimators"": 2990, ""l_learning_rate"": 0.051485876589434806, ""l_num_leaves"": 58, ""l_max_depth"": 3, ""l_subsample"": 0.6572600405586206, ""l_colsample"": 0.4770047875728641, ""l_reg_alpha"": 0.058590799316552894, ""l_reg_lambda"": 0.008300133548556876}",2025-12-02T23:40:11.425494+00:00
61,COMPLETE,0.3753862662660405,"{""l_n_estimators"": 1685, ""l_learning_rate"": 0.10446419393573443, ""l_num_leaves"": 48, ""l_max_depth"": 2, ""l_subsample"": 0.6208563310777498, ""l_colsample"": 0.5181036193643076, ""l_reg_alpha"": 0.25799134939975515, ""l_reg_lambda"": 8.66774865293119e-06}",2025-12-02T23:40:12.646324+00:00
