ts,study,total_trials,completed_trials,best_value,best_algo,mean_value
2025-12-18T04:05:34.324936+00:00,opti_v1.65_xgb,1,1,0.3864903115605697,xgb,0.3864903115605697
2025-12-18T04:06:09.781147+00:00,opti_v1.65_xgb,2,2,0.3864903115605697,xgb,0.39047989587306575
2025-12-18T04:06:27.639381+00:00,opti_v1.65_xgb,3,3,0.3860151731284531,xgb,0.3889916549581949
2025-12-18T04:06:33.979144+00:00,opti_v1.65_xgb,4,4,0.38352525401050735,xgb,0.387625054721273
2025-12-18T04:06:53.935891+00:00,opti_v1.65_xgb,5,5,0.38352525401050735,xgb,0.3889760532950662
2025-12-18T04:07:15.141552+00:00,opti_v1.65_xgb,6,6,0.38352525401050735,xgb,0.38832637656490077
2025-12-18T04:07:18.090862+00:00,opti_v1.65_xgb,7,7,0.381552332707894,xgb,0.38735865601389985
2025-12-18T04:07:33.135056+00:00,opti_v1.65_xgb,8,8,0.381552332707894,xgb,0.38728836162119085
2025-12-18T04:07:36.742670+00:00,opti_v1.65_xgb,9,9,0.381552332707894,xgb,0.38703906247137787
2025-12-18T04:07:52.602441+00:00,opti_v1.65_xgb,10,10,0.381552332707894,xgb,0.38678813149829233
2025-12-18T04:07:56.860082+00:00,opti_v1.65_xgb,11,11,0.381552332707894,xgb,0.3863984317291244
2025-12-18T04:08:01.271201+00:00,opti_v1.65_xgb,12,12,0.381552332707894,xgb,0.38603348303150514
2025-12-18T04:08:04.012622+00:00,opti_v1.65_xgb,13,13,0.38128122872821224,xgb,0.3856679250081749
2025-12-18T04:08:07.122170+00:00,opti_v1.65_xgb,14,14,0.38128122872821224,xgb,0.38576770199769345
2025-12-18T04:08:10.137890+00:00,opti_v1.65_xgb,15,15,0.38128122872821224,xgb,0.3859847728801846
2025-12-18T04:08:16.887453+00:00,opti_v1.65_xgb,16,16,0.38128122872821224,xgb,0.38583666876505074
2025-12-18T04:08:20.123577+00:00,opti_v1.65_xgb,17,17,0.38128122872821224,xgb,0.3856993077136046
2025-12-18T04:08:23.626258+00:00,opti_v1.65_xgb,18,18,0.37908154970342356,xgb,0.38533165449081674
2025-12-18T04:08:27.509515+00:00,opti_v1.65_xgb,19,19,0.37908154970342356,xgb,0.385118346183502
2025-12-18T04:08:31.281171+00:00,opti_v1.65_xgb,20,20,0.37908154970342356,xgb,0.3850063060889653
2025-12-18T04:08:39.336409+00:00,opti_v1.65_xgb,21,21,0.37908154970342356,xgb,0.3849214972006291
2025-12-18T04:08:42.966200+00:00,opti_v1.65_xgb,22,22,0.37908154970342356,xgb,0.384757255690786
2025-12-18T04:08:46.370064+00:00,opti_v1.65_xgb,23,23,0.37908154970342356,xgb,0.3846264888077982
2025-12-18T04:08:49.524172+00:00,opti_v1.65_xgb,24,24,0.37908154970342356,xgb,0.38441973684052355
2025-12-18T04:08:55.310944+00:00,opti_v1.65_xgb,25,25,0.37908154970342356,xgb,0.3843569656674289
2025-12-18T04:08:59.717797+00:00,opti_v1.65_xgb,26,26,0.37908154970342356,xgb,0.38427066788143266
2025-12-18T04:09:02.731818+00:00,opti_v1.65_xgb,27,27,0.37908154970342356,xgb,0.3842148385046932
2025-12-18T04:09:08.710765+00:00,opti_v1.65_xgb,28,28,0.37908154970342356,xgb,0.38418376253907077
2025-12-18T04:09:12.417864+00:00,opti_v1.65_xgb,29,29,0.37908154970342356,xgb,0.3841105449846863
2025-12-18T04:09:15.894915+00:00,opti_v1.65_xgb,30,30,0.37908154970342356,xgb,0.38405002452570763
2025-12-18T04:09:18.687793+00:00,opti_v1.65_xgb,31,31,0.37908154970342356,xgb,0.3840159459328175
2025-12-18T04:09:21.455550+00:00,opti_v1.65_xgb,32,32,0.37908154970342356,xgb,0.3838923844044222
2025-12-18T04:09:24.588563+00:00,opti_v1.65_xgb,33,33,0.37908154970342356,xgb,0.383801354565672
2025-12-18T04:09:27.488216+00:00,opti_v1.65_xgb,34,34,0.37908154970342356,xgb,0.38373353747061206
2025-12-18T04:09:30.211909+00:00,opti_v1.65_xgb,35,35,0.37908154970342356,xgb,0.38370066958368704
2025-12-18T04:09:33.190073+00:00,opti_v1.65_xgb,36,36,0.37908154970342356,xgb,0.3836257849112734
2025-12-18T04:09:36.922983+00:00,opti_v1.65_xgb,37,37,0.37908154970342356,xgb,0.38361958258212664
2025-12-18T04:09:41.034049+00:00,opti_v1.65_xgb,38,38,0.37908154970342356,xgb,0.38359909003601556
2025-12-18T04:10:06.514086+00:00,opti_v1.65_xgb,39,39,0.37908154970342356,xgb,0.3837023449904843
2025-12-18T04:10:22.269438+00:00,opti_v1.65_xgb,40,40,0.37908154970342356,xgb,0.3837002371228043
2025-12-18T04:10:27.896986+00:00,opti_v1.65_xgb,41,41,0.37908154970342356,xgb,0.3836687701626061
2025-12-18T04:10:30.682969+00:00,opti_v1.65_xgb,42,42,0.37908154970342356,xgb,0.38358283031873747
2025-12-18T04:10:33.592434+00:00,opti_v1.65_xgb,43,43,0.37908154970342356,xgb,0.3834926790451884
2025-12-18T04:10:36.709143+00:00,opti_v1.65_xgb,44,44,0.37908154970342356,xgb,0.38345190041310856
2025-12-18T04:10:39.652163+00:00,opti_v1.65_xgb,45,45,0.37908154970342356,xgb,0.38339268774053664
2025-12-18T04:10:42.205836+00:00,opti_v1.65_xgb,46,46,0.37908154970342356,xgb,0.38339527417121805
2025-12-18T04:10:45.243535+00:00,opti_v1.65_xgb,47,47,0.37908154970342356,xgb,0.38334066821919943
