trial_number,state,value,params,datetime_complete
0,COMPLETE,0.38567531768237207,"{""c_iterations"": 1436, ""c_depth"": 10, ""c_lr"": 0.026081583694317685, ""c_l2"": 0.015509913987594319}",2025-12-20T19:06:59.562636+00:00
1,COMPLETE,0.3977579906958124,"{""c_iterations"": 890, ""c_depth"": 5, ""c_lr"": 0.00015550191654264885, ""c_l2"": 1.156732719914599}",2025-12-20T19:07:06.785379+00:00
2,COMPLETE,0.3967955869119072,"{""c_iterations"": 2003, ""c_depth"": 8, ""c_lr"": 0.00011693648443440106, ""c_l2"": 6.156997328235206}",2025-12-20T19:07:27.321747+00:00
3,COMPLETE,0.39001618657361486,"{""c_iterations"": 2581, ""c_depth"": 5, ""c_lr"": 0.00039829941698924106, ""c_l2"": 1.922346047064365e-05}",2025-12-20T19:07:42.898439+00:00
4,COMPLETE,0.3867393316518199,"{""c_iterations"": 1260, ""c_depth"": 7, ""c_lr"": 0.002666020367873238, ""c_l2"": 0.00010929592787219404}",2025-12-20T19:07:52.862248+00:00
5,COMPLETE,0.38737911793978064,"{""c_iterations"": 2030, ""c_depth"": 4, ""c_lr"": 0.0009212515846231674, ""c_l2"": 0.0003668874895499185}",2025-12-20T19:08:03.254720+00:00
6,COMPLETE,0.3918068571714903,"{""c_iterations"": 1640, ""c_depth"": 9, ""c_lr"": 0.0004561725458211574, ""c_l2"": 0.003977782830811193}",2025-12-20T19:08:19.707625+00:00
7,COMPLETE,0.3853763148718116,"{""c_iterations"": 1981, ""c_depth"": 4, ""c_lr"": 0.010128002032729377, ""c_l2"": 1.5619562520792747e-05}",2025-12-20T19:08:23.619758+00:00
8,COMPLETE,0.3841001190956355,"{""c_iterations"": 662, ""c_depth"": 10, ""c_lr"": 0.15402113021890798, ""c_l2"": 0.45580746840273345}",2025-12-20T19:08:27.648834+00:00
9,COMPLETE,0.3837844752661805,"{""c_iterations"": 1261, ""c_depth"": 4, ""c_lr"": 0.01814152303366679, ""c_l2"": 0.0012052231254145623}",2025-12-20T19:08:31.515297+00:00
10,COMPLETE,0.3844609671195906,"{""c_iterations"": 2863, ""c_depth"": 6, ""c_lr"": 0.06566546363980703, ""c_l2"": 1.3357744409416468e-06}",2025-12-20T19:08:34.859232+00:00
11,COMPLETE,0.38381834132823667,"{""c_iterations"": 523, ""c_depth"": 10, ""c_lr"": 0.175048774668423, ""c_l2"": 0.11549778880654028}",2025-12-20T19:08:39.034040+00:00
12,COMPLETE,0.3841103364290643,"{""c_iterations"": 947, ""c_depth"": 8, ""c_lr"": 0.19257011477132702, ""c_l2"": 0.07587370442370696}",2025-12-20T19:08:42.667672+00:00
13,COMPLETE,0.3852420979687264,"{""c_iterations"": 597, ""c_depth"": 7, ""c_lr"": 0.019617555176562548, ""c_l2"": 0.0013049929364730652}",2025-12-20T19:08:47.808750+00:00
14,COMPLETE,0.3858535388338241,"{""c_iterations"": 1139, ""c_depth"": 6, ""c_lr"": 0.004438004290871557, ""c_l2"": 0.03318907013969237}",2025-12-20T19:08:55.665898+00:00
15,COMPLETE,0.3841870477205701,"{""c_iterations"": 852, ""c_depth"": 9, ""c_lr"": 0.05998561633882822, ""c_l2"": 0.1326809754590087}",2025-12-20T19:08:59.994028+00:00
16,COMPLETE,0.38516203131629206,"{""c_iterations"": 543, ""c_depth"": 5, ""c_lr"": 0.05238327362445553, ""c_l2"": 0.005468889388285648}",2025-12-20T19:09:02.754901+00:00
17,COMPLETE,0.3859517661776262,"{""c_iterations"": 1631, ""c_depth"": 9, ""c_lr"": 0.015346381033566978, ""c_l2"": 0.000828842970047458}",2025-12-20T19:09:09.899691+00:00
18,COMPLETE,0.38535057336111156,"{""c_iterations"": 1225, ""c_depth"": 6, ""c_lr"": 0.006786562619569415, ""c_l2"": 9.485531900089065}",2025-12-20T19:09:17.976393+00:00
19,COMPLETE,0.3863060528104253,"{""c_iterations"": 2325, ""c_depth"": 10, ""c_lr"": 0.0019054689751288126, ""c_l2"": 0.42040799858455025}",2025-12-20T19:09:34.350679+00:00
20,COMPLETE,0.3842586686868422,"{""c_iterations"": 1420, ""c_depth"": 8, ""c_lr"": 0.0358852489017127, ""c_l2"": 0.00011473375386852883}",2025-12-20T19:09:39.257183+00:00
21,COMPLETE,0.382166821162612,"{""c_iterations"": 720, ""c_depth"": 10, ""c_lr"": 0.1973166696545416, ""c_l2"": 0.9051887970615636}",2025-12-20T19:09:43.932339+00:00
22,COMPLETE,0.38491604422989134,"{""c_iterations"": 811, ""c_depth"": 9, ""c_lr"": 0.0974173543504095, ""c_l2"": 1.0977191811365696}",2025-12-20T19:09:48.264579+00:00
23,COMPLETE,0.38514156315062015,"{""c_iterations"": 1076, ""c_depth"": 10, ""c_lr"": 0.10638718481056805, ""c_l2"": 0.014507450453990597}",2025-12-20T19:09:52.537415+00:00
24,COMPLETE,0.38270140640896405,"{""c_iterations"": 501, ""c_depth"": 8, ""c_lr"": 0.11543050505213635, ""c_l2"": 0.137521030396737}",2025-12-20T19:09:56.251516+00:00
25,COMPLETE,0.3845103483791942,"{""c_iterations"": 710, ""c_depth"": 8, ""c_lr"": 0.036393281795642454, ""c_l2"": 1.308084865912612}",2025-12-20T19:10:00.769006+00:00
26,COMPLETE,0.3838144882045642,"{""c_iterations"": 1034, ""c_depth"": 7, ""c_lr"": 0.08138139864924959, ""c_l2"": 0.03783284323179272}",2025-12-20T19:10:04.236988+00:00
27,COMPLETE,0.3853679636592094,"{""c_iterations"": 1443, ""c_depth"": 7, ""c_lr"": 0.016982253484984344, ""c_l2"": 3.4002610056905502}",2025-12-20T19:10:11.104035+00:00
28,COMPLETE,0.3843356594144157,"{""c_iterations"": 779, ""c_depth"": 4, ""c_lr"": 0.040969013330475194, ""c_l2"": 0.008490991359257101}",2025-12-20T19:10:14.033448+00:00
29,COMPLETE,0.3850877310206453,"{""c_iterations"": 1346, ""c_depth"": 9, ""c_lr"": 0.024833566465155978, ""c_l2"": 0.34616082084151817}",2025-12-20T19:10:19.741186+00:00
30,COMPLETE,0.38540980273356795,"{""c_iterations"": 965, ""c_depth"": 6, ""c_lr"": 0.009367424284823726, ""c_l2"": 0.024940846346299714}",2025-12-20T19:10:26.499130+00:00
31,COMPLETE,0.3822517225281452,"{""c_iterations"": 1096, ""c_depth"": 7, ""c_lr"": 0.10383430499875074, ""c_l2"": 0.04759675794989384}",2025-12-20T19:10:30.303262+00:00
32,COMPLETE,0.3846264800307097,"{""c_iterations"": 683, ""c_depth"": 5, ""c_lr"": 0.11186199446585687, ""c_l2"": 0.16173294707769031}",2025-12-20T19:10:32.901861+00:00
33,COMPLETE,0.3831119808161667,"{""c_iterations"": 1139, ""c_depth"": 8, ""c_lr"": 0.1985852371552866, ""c_l2"": 2.3371040944740895}",2025-12-20T19:10:36.781456+00:00
34,COMPLETE,0.3830927931986533,"{""c_iterations"": 924, ""c_depth"": 8, ""c_lr"": 0.19085557234734765, ""c_l2"": 2.366734102044984}",2025-12-20T19:10:40.388091+00:00
35,COMPLETE,0.3821568952858738,"{""c_iterations"": 886, ""c_depth"": 8, ""c_lr"": 0.11282034722952555, ""c_l2"": 0.7508372814691123}",2025-12-20T19:10:44.244199+00:00
36,COMPLETE,0.3828453260954923,"{""c_iterations"": 521, ""c_depth"": 7, ""c_lr"": 0.1083611247813213, ""c_l2"": 0.8211728752341104}",2025-12-20T19:10:47.725197+00:00
37,COMPLETE,0.3853546409495142,"{""c_iterations"": 806, ""c_depth"": 7, ""c_lr"": 0.06842722898542682, ""c_l2"": 0.24470279611144807}",2025-12-20T19:10:51.353375+00:00
38,COMPLETE,0.38428076512198855,"{""c_iterations"": 1536, ""c_depth"": 9, ""c_lr"": 0.12145343751123208, ""c_l2"": 0.06752958044247044}",2025-12-20T19:10:55.262908+00:00
39,COMPLETE,0.38474716069178283,"{""c_iterations"": 1822, ""c_depth"": 8, ""c_lr"": 0.04658109812263751, ""c_l2"": 4.531619597302716}",2025-12-20T19:11:00.117103+00:00
40,COMPLETE,0.385113184032139,"{""c_iterations"": 661, ""c_depth"": 7, ""c_lr"": 0.033460138378624125, ""c_l2"": 0.8697316671145973}",2025-12-20T19:11:04.388704+00:00
41,COMPLETE,0.3829434013024158,"{""c_iterations"": 520, ""c_depth"": 7, ""c_lr"": 0.12013641742662994, ""c_l2"": 0.43306239199136026}",2025-12-20T19:11:07.491073+00:00
42,COMPLETE,0.38409966829752873,"{""c_iterations"": 722, ""c_depth"": 6, ""c_lr"": 0.0843506396272528, ""c_l2"": 0.6904224024674493}",2025-12-20T19:11:10.484256+00:00
43,COMPLETE,0.38435373377057386,"{""c_iterations"": 616, ""c_depth"": 8, ""c_lr"": 0.13706981952023978, ""c_l2"": 2.078977289142148}",2025-12-20T19:11:14.304609+00:00
44,COMPLETE,0.38521605136331244,"{""c_iterations"": 508, ""c_depth"": 7, ""c_lr"": 0.07154519691073936, ""c_l2"": 0.07770725047557672}",2025-12-20T19:11:17.851312+00:00
45,COMPLETE,0.3974188166126653,"{""c_iterations"": 884, ""c_depth"": 6, ""c_lr"": 0.00018775501752005724, ""c_l2"": 0.28333714204437077}",2025-12-20T19:11:26.683921+00:00
46,COMPLETE,0.38465196095996357,"{""c_iterations"": 979, ""c_depth"": 8, ""c_lr"": 0.1413929412464193, ""c_l2"": 7.005983995640419}",2025-12-20T19:11:30.566223+00:00
47,COMPLETE,0.38780533040988613,"{""c_iterations"": 2328, ""c_depth"": 9, ""c_lr"": 0.0009179089785895568, ""c_l2"": 0.013365685723372756}",2025-12-20T19:11:52.260863+00:00
48,COMPLETE,0.3848267757622277,"{""c_iterations"": 740, ""c_depth"": 7, ""c_lr"": 0.026188874540493897, ""c_l2"": 0.043013817475394664}",2025-12-20T19:11:56.999624+00:00
49,COMPLETE,0.3857855021629742,"{""c_iterations"": 1167, ""c_depth"": 10, ""c_lr"": 0.05163997344135116, ""c_l2"": 0.1771353390272005}",2025-12-20T19:12:00.896560+00:00
50,COMPLETE,0.38437737096322666,"{""c_iterations"": 613, ""c_depth"": 8, ""c_lr"": 0.07773313153869521, ""c_l2"": 0.0027278872698051682}",2025-12-20T19:12:04.634179+00:00
51,COMPLETE,0.3836943543922129,"{""c_iterations"": 500, ""c_depth"": 7, ""c_lr"": 0.13160400702563252, ""c_l2"": 0.46537971314779764}",2025-12-20T19:12:07.915237+00:00
52,COMPLETE,0.3830111799803283,"{""c_iterations"": 579, ""c_depth"": 6, ""c_lr"": 0.11072622799769086, ""c_l2"": 1.343834929860379}",2025-12-20T19:12:10.798076+00:00
53,COMPLETE,0.3842832838966337,"{""c_iterations"": 872, ""c_depth"": 7, ""c_lr"": 0.15148028571721267, ""c_l2"": 0.7175480481150969}",2025-12-20T19:12:14.034698+00:00
54,COMPLETE,0.3856866231204219,"{""c_iterations"": 501, ""c_depth"": 6, ""c_lr"": 0.059201394314050346, ""c_l2"": 0.08913212780085498}",2025-12-20T19:12:17.112618+00:00
55,COMPLETE,0.3849340414436443,"{""c_iterations"": 662, ""c_depth"": 7, ""c_lr"": 0.0911161694132722, ""c_l2"": 0.23155513340298667}",2025-12-20T19:12:20.429358+00:00
