trial_number,state,value,params,datetime_complete
15000,COMPLETE,0.3849209463231483,"{""c_iterations"": 2671, ""c_depth"": 7, ""c_lr"": 0.1547812386540775, ""c_l2"": 1.271498031786954}",2025-12-22T08:14:12.362242+00:00
15001,COMPLETE,0.3844489850710475,"{""c_iterations"": 2783, ""c_depth"": 7, ""c_lr"": 0.17330261329213487, ""c_l2"": 5.5235502969561}",2025-12-22T08:14:17.619396+00:00
15002,COMPLETE,0.38343897782201314,"{""c_iterations"": 2570, ""c_depth"": 7, ""c_lr"": 0.1991023130229404, ""c_l2"": 9.729286764092359e-06}",2025-12-22T08:14:21.023798+00:00
15003,COMPLETE,0.38179852850415924,"{""c_iterations"": 2740, ""c_depth"": 7, ""c_lr"": 0.19928546058320648, ""c_l2"": 3.159319397560969}",2025-12-22T08:14:24.514141+00:00
15004,COMPLETE,0.38377623929433746,"{""c_iterations"": 2786, ""c_depth"": 7, ""c_lr"": 0.1372176280525852, ""c_l2"": 2.032583442317076}",2025-12-22T08:14:28.151854+00:00
15005,COMPLETE,0.38359226629326093,"{""c_iterations"": 2667, ""c_depth"": 7, ""c_lr"": 0.19937248928823778, ""c_l2"": 3.612207405404342}",2025-12-22T08:14:31.565599+00:00
15006,COMPLETE,0.3825296481041899,"{""c_iterations"": 2839, ""c_depth"": 7, ""c_lr"": 0.19905638324140582, ""c_l2"": 1.6244509809747099}",2025-12-22T08:14:35.026724+00:00
15007,COMPLETE,0.38451108983927534,"{""c_iterations"": 2618, ""c_depth"": 7, ""c_lr"": 0.1550148111756917, ""c_l2"": 2.6322623976036787}",2025-12-22T08:14:38.471683+00:00
15008,COMPLETE,0.3831872814647691,"{""c_iterations"": 2743, ""c_depth"": 7, ""c_lr"": 0.19944230697265425, ""c_l2"": 0.9752152771167074}",2025-12-22T08:14:41.972949+00:00
15009,COMPLETE,0.38330415340460494,"{""c_iterations"": 2691, ""c_depth"": 7, ""c_lr"": 0.1366177647837331, ""c_l2"": 4.818743509825982}",2025-12-22T08:14:45.519358+00:00
15010,COMPLETE,0.3836135177844048,"{""c_iterations"": 2543, ""c_depth"": 7, ""c_lr"": 0.1351094285091585, ""c_l2"": 2.2060619645936215}",2025-12-22T08:14:49.177207+00:00
15011,COMPLETE,0.38305244449393566,"{""c_iterations"": 2836, ""c_depth"": 7, ""c_lr"": 0.19967765011822286, ""c_l2"": 4.27389330155928}",2025-12-22T08:14:52.742451+00:00
15012,COMPLETE,0.3850757512425128,"{""c_iterations"": 2792, ""c_depth"": 7, ""c_lr"": 0.1727326889931919, ""c_l2"": 1.5510977395652985}",2025-12-22T08:14:56.106714+00:00
15013,COMPLETE,0.3849332445648309,"{""c_iterations"": 2720, ""c_depth"": 7, ""c_lr"": 0.1747032201124089, ""c_l2"": 3.126576328442138}",2025-12-22T08:14:59.687043+00:00
15014,COMPLETE,0.38334215858243015,"{""c_iterations"": 2619, ""c_depth"": 7, ""c_lr"": 0.1512621853499369, ""c_l2"": 6.597377451183013}",2025-12-22T08:15:03.492427+00:00
15015,COMPLETE,0.38513978058851445,"{""c_iterations"": 2445, ""c_depth"": 7, ""c_lr"": 0.17402666776766698, ""c_l2"": 2.5273638247081696}",2025-12-22T08:15:07.065523+00:00
15016,COMPLETE,0.38557942194818895,"{""c_iterations"": 2752, ""c_depth"": 6, ""c_lr"": 0.15391731356854446, ""c_l2"": 1.2892196995159104}",2025-12-22T08:15:10.148355+00:00
15017,COMPLETE,0.38324343815163575,"{""c_iterations"": 2838, ""c_depth"": 7, ""c_lr"": 0.1999217126921105, ""c_l2"": 3.694016835737386}",2025-12-22T08:15:13.646507+00:00
15018,COMPLETE,0.38446304185402713,"{""c_iterations"": 2663, ""c_depth"": 7, ""c_lr"": 0.1553266980443162, ""c_l2"": 0.0003139986551166936}",2025-12-22T08:15:17.251248+00:00
15019,COMPLETE,0.383081836354214,"{""c_iterations"": 2723, ""c_depth"": 7, ""c_lr"": 0.11937472691972999, ""c_l2"": 1.9151951206740156}",2025-12-22T08:15:20.883696+00:00
15020,COMPLETE,0.38462768254458046,"{""c_iterations"": 2797, ""c_depth"": 7, ""c_lr"": 0.17169588041537334, ""c_l2"": 2.285177436742343}",2025-12-22T08:15:24.658965+00:00
15021,COMPLETE,0.38176655284080946,"{""c_iterations"": 2589, ""c_depth"": 7, ""c_lr"": 0.19968669314679907, ""c_l2"": 3.2016090458671305}",2025-12-22T08:15:28.267244+00:00
15022,COMPLETE,0.3846818587309982,"{""c_iterations"": 2677, ""c_depth"": 7, ""c_lr"": 0.17427130796293658, ""c_l2"": 1.6913632955358449}",2025-12-22T08:15:31.865539+00:00
15023,COMPLETE,0.38467723445443885,"{""c_iterations"": 2842, ""c_depth"": 7, ""c_lr"": 0.1735603155532864, ""c_l2"": 4.767847796941788}",2025-12-22T08:15:35.533147+00:00
15024,COMPLETE,0.38292103513352993,"{""c_iterations"": 2768, ""c_depth"": 7, ""c_lr"": 0.19959635424566485, ""c_l2"": 2.8197926180528077}",2025-12-22T08:15:39.613095+00:00
15025,COMPLETE,0.38314124663127386,"{""c_iterations"": 2633, ""c_depth"": 7, ""c_lr"": 0.15477899153703809, ""c_l2"": 7.913992745230951}",2025-12-22T08:15:43.374361+00:00
15026,COMPLETE,0.38309177885097795,"{""c_iterations"": 2721, ""c_depth"": 7, ""c_lr"": 0.11661333684561406, ""c_l2"": 1.3362643589605416}",2025-12-22T08:15:47.114717+00:00
15027,COMPLETE,0.38328855821426766,"{""c_iterations"": 898, ""c_depth"": 7, ""c_lr"": 0.1999146040247896, ""c_l2"": 3.889900816613325}",2025-12-22T08:15:50.541839+00:00
15028,COMPLETE,0.3834828748747339,"{""c_iterations"": 2512, ""c_depth"": 7, ""c_lr"": 0.13726562645186977, ""c_l2"": 0.9744874828523796}",2025-12-22T08:15:54.063666+00:00
15029,COMPLETE,0.38441662029561025,"{""c_iterations"": 2776, ""c_depth"": 7, ""c_lr"": 0.1541053492895766, ""c_l2"": 2.1531387911982893}",2025-12-22T08:15:57.589892+00:00
15030,COMPLETE,0.38496467389546096,"{""c_iterations"": 2828, ""c_depth"": 7, ""c_lr"": 0.17436419691488597, ""c_l2"": 3.1081542119880403}",2025-12-22T08:16:01.113639+00:00
15031,COMPLETE,0.38339586809014825,"{""c_iterations"": 2680, ""c_depth"": 7, ""c_lr"": 0.13543627917180265, ""c_l2"": 1.3696362490838305e-06}",2025-12-22T08:16:04.692523+00:00
15032,COMPLETE,0.38516083053825256,"{""c_iterations"": 2589, ""c_depth"": 7, ""c_lr"": 0.03656277711783934, ""c_l2"": 5.8840479980994385}",2025-12-22T08:16:09.401316+00:00
