trial_number,state,value,params,datetime_complete
21,COMPLETE,0.3775082134369001,"{""nn_n_layers"": 2, ""nn_units"": 256, ""nn_dropout"": 0.3480589016791605, ""nn_lr"": 0.0028069360028056163, ""nn_epochs"": 199, ""nn_batch"": 32, ""nn_act"": ""elu""}",2025-12-19T02:08:07.300387+00:00
23,COMPLETE,0.42620486440369354,"{""nn_n_layers"": 3, ""nn_units"": 256, ""nn_dropout"": 0.17391047315681243, ""nn_lr"": 5.608877985158643e-05, ""nn_epochs"": 129, ""nn_batch"": 64, ""nn_act"": ""selu""}",2025-12-19T03:35:40.326544+00:00
24,COMPLETE,0.3754090214809636,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.27585755040565924, ""nn_lr"": 0.00967478031223462, ""nn_epochs"": 160, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:35:59.863143+00:00
25,COMPLETE,0.38749106027416286,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.3035921370166128, ""nn_lr"": 0.0034007124198578696, ""nn_epochs"": 165, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:36:16.815758+00:00
26,COMPLETE,0.38210207708046273,"{""nn_n_layers"": 1, ""nn_units"": 64, ""nn_dropout"": 0.43591039494816297, ""nn_lr"": 0.009542934040876985, ""nn_epochs"": 239, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:36:36.933542+00:00
27,COMPLETE,0.3985542716895148,"{""nn_n_layers"": 2, ""nn_units"": 128, ""nn_dropout"": 0.21906508374556716, ""nn_lr"": 0.001156767980031292, ""nn_epochs"": 186, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:36:58.813392+00:00
28,COMPLETE,0.4142692583939522,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.31521040785982246, ""nn_lr"": 0.00020164396266926998, ""nn_epochs"": 283, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:37:18.786037+00:00
29,COMPLETE,0.473760601805458,"{""nn_n_layers"": 2, ""nn_units"": 64, ""nn_dropout"": 0.288854897452151, ""nn_lr"": 0.0005893985159855655, ""nn_epochs"": 92, ""nn_batch"": 64, ""nn_act"": ""selu""}",2025-12-19T03:37:46.006139+00:00
30,COMPLETE,0.37847576207662326,"{""nn_n_layers"": 1, ""nn_units"": 32, ""nn_dropout"": 0.14499522808537388, ""nn_lr"": 0.005742527473152252, ""nn_epochs"": 154, ""nn_batch"": 64, ""nn_act"": ""selu""}",2025-12-19T03:38:05.590967+00:00
31,COMPLETE,0.40939611171380397,"{""nn_n_layers"": 1, ""nn_units"": 256, ""nn_dropout"": 0.05066515165687693, ""nn_lr"": 0.0022283543525418986, ""nn_epochs"": 235, ""nn_batch"": 128, ""nn_act"": ""relu""}",2025-12-19T03:38:24.981315+00:00
32,COMPLETE,0.9368815364481118,"{""nn_n_layers"": 2, ""nn_units"": 32, ""nn_dropout"": 0.41355114554760497, ""nn_lr"": 6.554975454790652e-05, ""nn_epochs"": 130, ""nn_batch"": 32, ""nn_act"": ""elu""}",2025-12-19T03:39:31.704652+00:00
33,COMPLETE,0.40378480574580694,"{""nn_n_layers"": 2, ""nn_units"": 128, ""nn_dropout"": 0.2082509001123209, ""nn_lr"": 0.003392548448358329, ""nn_epochs"": 210, ""nn_batch"": 64, ""nn_act"": ""relu""}",2025-12-19T03:39:51.827088+00:00
34,COMPLETE,0.37998578936309335,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.263049494602258, ""nn_lr"": 0.005028864225058482, ""nn_epochs"": 143, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:40:09.014805+00:00
35,COMPLETE,0.380021072938882,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.2768273082534169, ""nn_lr"": 0.00917951391614849, ""nn_epochs"": 177, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:40:29.982392+00:00
36,COMPLETE,0.38568638051095727,"{""nn_n_layers"": 1, ""nn_units"": 128, ""nn_dropout"": 0.15937546552861429, ""nn_lr"": 0.0061276704432005604, ""nn_epochs"": 109, ""nn_batch"": 64, ""nn_act"": ""elu""}",2025-12-19T03:40:46.842389+00:00
