iter	Passed	Remaining
0	1	3294
1	2	2944
2	2	2746
3	3	2725
4	4	2721
5	5	2670
6	6	2677
7	7	2658
8	8	2620
9	8	2588
10	9	2563
11	10	2540
12	11	2529
13	12	2525
14	13	2576
15	14	2602
16	15	2608
17	16	2576
18	16	2577
19	18	2607
20	18	2608
21	19	2612
22	20	2632
23	21	2642
24	22	2653
25	24	2676
26	25	2697
27	26	2698
28	27	2696
29	28	2705
30	29	2717
31	30	2725
32	31	2731
33	32	2739
34	33	2744
35	34	2747
36	35	2753
37	36	2753
38	37	2761
39	38	2777
40	39	2771
41	40	2768
42	41	2760
43	42	2790
44	44	2832
45	45	2834
46	46	2835
47	47	2831
48	48	2832
49	49	2827
50	50	2821
51	51	2817
52	52	2806
53	52	2798
54	53	2790
55	54	2788
56	55	2779
57	56	2768
58	57	2761
59	57	2753
60	59	2766
61	60	2762
62	61	2760
63	61	2756
64	62	2749
65	63	2741
66	64	2736
67	65	2728
68	65	2718
69	66	2711
70	67	2702
71	68	2694
72	68	2682
73	69	2674
74	70	2667
75	71	2661
76	72	2654
77	73	2656
78	74	2654
79	74	2653
80	75	2650
81	76	2643
82	77	2643
83	78	2639
84	79	2637
85	80	2634
86	81	2632
87	81	2629
88	82	2627
89	83	2625
90	84	2622
91	85	2620
92	86	2619
93	87	2618
94	88	2618
95	89	2615
96	90	2616
97	91	2617
98	92	2616
99	92	2615
100	93	2613
101	94	2615
102	96	2620
103	97	2622
104	98	2621
105	98	2619
106	99	2619
107	101	2622
108	102	2624
109	103	2628
110	104	2626
111	105	2626
112	106	2627
113	107	2628
114	108	2643
115	109	2643
116	111	2651
117	111	2651
118	112	2647
119	113	2645
120	114	2643
121	115	2649
122	116	2643
123	117	2642
124	118	2641
125	119	2644
126	120	2647
127	121	2652
128	123	2656
129	125	2683
130	127	2703
131	129	2720
132	131	2740
133	132	2745
134	133	2747
135	134	2753
136	136	2756
137	137	2770
138	139	2777
139	140	2778
140	141	2784
141	142	2787
142	144	2793
143	145	2799
144	146	2800
145	148	2804
146	150	2830
147	151	2832
